partner_country,value_exported_usd,trade_balance_usd,share_in_base_country_exports_pct,quantity_exported,quantity_unit,unit_value_usd,growth_value_5y_pct,growth_qty_5y_pct,growth_value_1y_pct,ranking_in_world_imports,share_in_world_imports_pct,tariff_faced_pct
World,12659496000.0,-7334385000.0,100.0,40375.0,Tons,313548.0,-6.0,-8.0,11.0,,100.0,
China,10652434000.0,-10646644000.0,84.1,32789.0,Tons,324878.0,-4.0,-7.0,9.0,1.0,62.0,0.0
Viet Nam,538841000.0,-538322000.0,4.3,845.0,Tons,637682.0,10.0,11.0,44.0,2.0,8.2,0.0
Thailand,496579000.0,-495399000.0,3.9,2467.0,Tons,201289.0,527.0,,196955.0,9.0,1.5,0.0
"Taipei, Chinese",332447000.0,-331763000.0,2.6,813.0,Tons,408914.0,-1.0,-5.0,-5.0,10.0,1.4,0.0
Czech Republic,306092000.0,120302000.0,2.4,833.0,Tons,367457.0,-17.0,-24.0,-26.0,5.0,2.8,0.0
Netherlands,58810000.0,560096000.0,0.5,384.0,Tons,153151.0,-48.0,-37.0,-19.0,8.0,2.0,0.0
Ireland,44653000.0,17313000.0,0.4,160.0,Tons,279081.0,-35.0,-23.0,-12.0,33.0,0.09,0.0
Poland,42027000.0,383901000.0,0.3,328.0,Tons,128131.0,-39.0,-35.0,-1.0,22.0,0.3,0.0
Japan,35780000.0,-32250000.0,0.3,130.0,Tons,275231.0,-41.0,-42.0,-81.0,35.0,0.06,0.0
Austria,26624000.0,404174000.0,0.2,262.0,Tons,101618.0,17.0,46.0,-21.0,26.0,0.2,0.0
Belgium,19734000.0,253842000.0,0.2,147.0,Tons,134245.0,-6.0,1.0,-7.0,17.0,0.5,0.0
France,17492000.0,907637000.0,0.1,311.0,Tons,56244.0,-12.0,1.0,12.0,21.0,0.3,0.0
United States of America,17406000.0,19241000.0,0.1,109.0,Tons,159688.0,-21.0,-10.0,-49.0,3.0,4.0,0.0
United Kingdom,9605000.0,78662000.0,0.1,83.0,Tons,115723.0,-41.0,-9.0,-11.0,14.0,0.7,0.0
Italy,9022000.0,258282000.0,0.1,147.0,Tons,61374.0,-23.0,-9.0,-38.0,12.0,0.8,0.0
"Korea, Republic of",8293000.0,-2992000.0,0.1,18.0,Tons,460722.0,-18.0,-20.0,16.0,30.0,0.1,0.0
Denmark,8094000.0,153391000.0,0.1,45.0,Tons,179867.0,-8.0,-7.0,60.0,18.0,0.3,0.0
Israel,4024000.0,1640000.0,0.0,7.0,Tons,574857.0,18.0,38.0,2.0,50.0,0.02,0.0
Malaysia,4012000.0,-1525000.0,0.0,22.0,Tons,182364.0,6.0,5.0,55.0,16.0,0.5,0.0
"Hong Kong, China",3184000.0,-456000.0,0.0,18.0,Tons,176889.0,-10.0,1.0,118.0,6.0,2.7,0.0
Switzerland,3148000.0,199092000.0,0.0,126.0,Tons,24984.0,-4.0,79.0,-32.0,34.0,0.07,0.0
Spain,3019000.0,291065000.0,0.0,30.0,Tons,100633.0,-38.0,-33.0,24.0,25.0,0.2,0.0
Sweden,2942000.0,324127000.0,0.0,21.0,Tons,140095.0,-26.0,-10.0,-8.0,13.0,0.7,0.0
Türkiye,1477000.0,5088000.0,0.0,9.0,Tons,164111.0,38.0,76.0,259.0,46.0,0.02,0.0
Australia,1073000.0,2533000.0,0.0,12.0,Tons,89417.0,7.0,32.0,243.0,24.0,0.2,0.0
Slovakia,1015000.0,52811000.0,0.0,23.0,Tons,44130.0,-63.0,-50.0,-55.0,19.0,0.3,0.0
Finland,948000.0,59000000.0,0.0,3.0,Tons,316000.0,-16.0,-17.0,-36.0,38.0,0.05,0.0
Canada,871000.0,1135000.0,0.0,4.0,Tons,217750.0,13.0,-26.0,-59.0,23.0,0.2,0.0
Romania,820000.0,61990000.0,0.0,12.0,Tons,68333.0,-15.0,-5.0,-28.0,32.0,0.09,0.0
Hungary,769000.0,128587000.0,0.0,13.0,Tons,59154.0,-22.0,-19.0,-34.0,27.0,0.2,0.0
Mexico,764000.0,2234000.0,0.0,7.0,Tons,109143.0,-21.0,20.0,85.0,15.0,0.7,0.0
Philippines,702000.0,-277000.0,0.0,3.0,Tons,234000.0,85.0,,325.0,51.0,0.02,0.0
Estonia,662000.0,10337000.0,0.0,10.0,Tons,66200.0,36.0,53.0,207.0,44.0,0.03,0.0
United Arab Emirates,566000.0,28320000.0,0.0,16.0,Tons,35375.0,4.0,48.0,-18.0,7.0,2.7,0.0
Latvia,557000.0,6610000.0,0.0,6.0,Tons,92833.0,45.0,32.0,264.0,39.0,0.05,0.0
South Africa,537000.0,2795000.0,0.0,6.0,Tons,89500.0,51.0,,325.0,36.0,0.06,0.0
Portugal,451000.0,88517000.0,0.0,15.0,Tons,30067.0,97.0,,29.0,47.0,0.02,0.0
Norway,394000.0,8863000.0,0.0,18.0,Tons,21889.0,-32.0,14.0,-17.0,41.0,0.04,0.0
Slovenia,363000.0,30766000.0,0.0,6.0,Tons,60500.0,-5.0,51.0,-46.0,45.0,0.02,0.0
India,287000.0,4356000.0,0.0,1.0,Tons,287000.0,24.0,-19.0,-62.0,29.0,0.2,0.0
Singapore,269000.0,7617000.0,0.0,1.0,Tons,269000.0,-8.0,0.0,26.0,11.0,1.3,0.0
Ukraine,225000.0,15996000.0,0.0,2.0,Tons,112500.0,28.0,,112.0,76.0,0.0,0.0
Indonesia,214000.0,389000.0,0.0,11.0,Tons,19455.0,58.0,,613.0,55.0,0.0,0.0
Croatia,206000.0,30119000.0,0.0,2.0,Tons,103000.0,50.0,,-21.0,58.0,0.0,0.0
Bulgaria,195000.0,21195000.0,0.0,13.0,Tons,15000.0,-38.0,0.0,-96.0,43.0,0.03,0.0
Lithuania,191000.0,38894000.0,0.0,5.0,Tons,38200.0,-32.0,25.0,-54.0,31.0,0.1,0.0
Luxembourg,185000.0,31388000.0,0.0,2.0,Tons,92500.0,-16.0,19.0,-18.0,61.0,0.0,0.0
Nigeria,162000.0,695000.0,0.0,12.0,Tons,13500.0,93.0,,61.0,,,0.0
New Zealand,145000.0,106000.0,0.0,1.0,Tons,145000.0,2.0,-7.0,-44.0,52.0,0.01,0.0
Greece,134000.0,38319000.0,0.0,2.0,Tons,67000.0,-12.0,26.0,153.0,20.0,0.3,0.0
Serbia,107000.0,5188000.0,0.0,2.0,Tons,53500.0,37.0,,-82.0,53.0,0.01,0.0
Bosnia and Herzegovina,91000.0,506000.0,0.0,6.0,Tons,15167.0,28.0,34.0,-10.0,93.0,0.0,0.0
Belarus,86000.0,-86000.0,0.0,6.0,Tons,14333.0,121.0,,-11.0,122.0,0.0,0.0
Brazil,65000.0,3606000.0,0.0,5.0,Tons,13000.0,22.0,,35.0,49.0,0.02,0.0
Cyprus,51000.0,8476000.0,0.0,9.0,Tons,5667.0,,,21.0,63.0,0.0,0.0
"Moldova, Republic of",48000.0,245000.0,0.0,1.0,Tons,48000.0,127.0,,85.0,57.0,0.0,0.0
Saudi Arabia,46000.0,3139000.0,0.0,1.0,Tons,46000.0,0.0,,79.0,37.0,0.05,0.0
Kyrgyzstan,39000.0,-8000.0,0.0,10.0,Tons,3900.0,215.0,,-39.0,70.0,0.0,0.0
Jordan,36000.0,236000.0,0.0,2.0,Tons,18000.0,142.0,,-13.0,117.0,0.0,0.0
Myanmar,35000.0,17000.0,0.0,0.0,Tons,,,,-8.0,,,0.0
Ghana,31000.0,801000.0,0.0,3.0,Tons,10333.0,85.0,,-19.0,107.0,0.0,0.0
Egypt,29000.0,2742000.0,0.0,0.0,Tons,,28.0,,-41.0,100.0,0.0,0.0
Morocco,28000.0,4431000.0,0.0,1.0,Tons,28000.0,-10.0,,95.0,69.0,0.0,0.0
Colombia,24000.0,776000.0,0.0,0.0,No quantity,,22.0,,86.0,67.0,0.0,0.0
"Tanzania, United Republic of",21000.0,930000.0,0.0,1.0,Tons,21000.0,93.0,,223.0,89.0,0.0,0.0
Honduras,21000.0,15000.0,0.0,1.0,Tons,21000.0,,,1032.0,91.0,0.0,0.0
Georgia,17000.0,758000.0,0.0,0.0,No quantity,,,,-50.0,64.0,0.0,0.0
Chile,17000.0,720000.0,0.0,1.0,Tons,17000.0,-6.0,,120.0,54.0,0.01,0.0
"Macedonia, North",16000.0,351000.0,0.0,0.0,No quantity,,18.0,,33.0,71.0,0.0,0.0
Kazakhstan,15000.0,1636000.0,0.0,1.0,Tons,15000.0,69.0,,-29.0,42.0,0.03,0.0
Kenya,14000.0,678000.0,0.0,0.0,Tons,,-11.0,,-22.0,75.0,0.0,0.0
Kuwait,14000.0,567000.0,0.0,0.0,No quantity,,88.0,,23.0,68.0,0.0,0.0
Bangladesh,13000.0,210000.0,0.0,5.0,Tons,2600.0,-25.0,,-16.0,72.0,0.0,0.0
Benin,12000.0,191000.0,0.0,1.0,Tons,12000.0,85.0,,229.0,147.0,0.0,0.0
"Bolivia, Plurinational State of",11000.0,82000.0,0.0,1.0,Tons,11000.0,40.0,,,182.0,0.0,0.0
Côte d'Ivoire,8000.0,1673000.0,0.0,0.0,Tons,,,,38.0,90.0,0.0,0.0
Cambodia,8000.0,13000.0,0.0,0.0,No quantity,,62.0,,300.0,175.0,0.0,0.0
Argentina,7000.0,1726000.0,0.0,0.0,No quantity,,33.0,,-80.0,111.0,0.0,0.0
Oman,7000.0,513000.0,0.0,0.0,No quantity,,-7.0,,133.0,120.0,0.0,0.0
Togo,7000.0,193000.0,0.0,1.0,Tons,7000.0,2.0,,-54.0,132.0,0.0,0.0
Panama,7000.0,48000.0,0.0,0.0,No quantity,,,,133.0,28.0,0.2,0.0
Brunei Darussalam,7000.0,13000.0,0.0,0.0,No quantity,,,,,151.0,0.0,0.0
Lebanon,6000.0,867000.0,0.0,0.0,Tons,,-9.0,,90.0,73.0,0.0,0.0
Bahrain,6000.0,426000.0,0.0,0.0,No quantity,,-6.0,,,48.0,0.02,0.0
Mozambique,6000.0,27000.0,0.0,0.0,Tons,,88.0,,-54.0,162.0,0.0,0.0
Montenegro,5000.0,159000.0,0.0,0.0,Tons,,38.0,,,109.0,0.0,0.0
Ecuador,5000.0,125000.0,0.0,0.0,Tons,,,,4.0,85.0,0.0,0.0
Albania,4000.0,2330000.0,0.0,1.0,Tons,4000.0,9.0,,-35.0,83.0,0.0,0.0
Tunisia,4000.0,884000.0,0.0,1.0,Tons,4000.0,7.0,,-23.0,79.0,0.0,0.0
Iceland,4000.0,619000.0,0.0,0.0,Tons,,1.0,,-43.0,82.0,0.0,0.0
Peru,4000.0,528000.0,0.0,0.0,No quantity,,31.0,,109.0,81.0,0.0,0.0
Uzbekistan,4000.0,266000.0,0.0,1.0,Tons,4000.0,58.0,,-20.0,139.0,0.0,0.0
Burkina Faso,4000.0,231000.0,0.0,0.0,Tons,,,,,156.0,0.0,0.0
"Congo, Democratic Republic of the",4000.0,228000.0,0.0,0.0,Tons,,,,,115.0,0.0,0.0
Costa Rica,4000.0,83000.0,0.0,0.0,No quantity,,-1.0,,,62.0,0.0,0.0
Paraguay,4000.0,66000.0,0.0,0.0,No quantity,,,,,128.0,0.0,0.0
Malta,3000.0,7313000.0,0.0,0.0,No quantity,,35.0,,-65.0,80.0,0.0,0.0
Armenia,3000.0,332000.0,0.0,0.0,No quantity,,8.0,,,40.0,0.04,0.0
Cameroon,3000.0,322000.0,0.0,0.0,No quantity,,-7.0,,-25.0,119.0,0.0,0.0
Ethiopia,3000.0,225000.0,0.0,0.0,Tons,,57.0,,-73.0,87.0,0.0,0.0
Guatemala,3000.0,133000.0,0.0,0.0,No quantity,,,,-83.0,66.0,0.0,0.0
Trinidad and Tobago,3000.0,62000.0,0.0,0.0,No quantity,,25.0,,,101.0,0.0,0.0
"Libya, State of",3000.0,15000.0,0.0,1.0,Tons,3000.0,28.0,,,164.0,0.0,0.0
Tajikistan,3000.0,11000.0,0.0,0.0,No quantity,,,,,185.0,0.0,0.0
Iraq,2000.0,1213000.0,0.0,0.0,No quantity,,8.0,,-78.0,137.0,0.0,0.0
Gibraltar,2000.0,227000.0,0.0,0.0,No quantity,,-8.0,,,144.0,0.0,0.0
Afghanistan,2000.0,185000.0,0.0,0.0,No quantity,,,,,126.0,0.0,0.0
Namibia,2000.0,131000.0,0.0,0.0,No quantity,,54.0,,-89.0,108.0,0.0,0.0
Guinea,2000.0,52000.0,0.0,0.0,No quantity,,,,,163.0,0.0,0.0
Mauritius,1000.0,755000.0,0.0,0.0,No quantity,,-13.0,,,86.0,0.0,0.0
Qatar,1000.0,616000.0,0.0,0.0,No quantity,,-40.0,,,,,0.0
Zambia,1000.0,184000.0,0.0,0.0,No quantity,,-19.0,,,110.0,0.0,0.0
Nepal,1000.0,81000.0,0.0,0.0,No quantity,,-28.0,,,172.0,0.0,0.0
Zimbabwe,1000.0,43000.0,0.0,0.0,No quantity,,,,,127.0,0.0,0.0
Congo,1000.0,25000.0,0.0,0.0,No quantity,,,,,157.0,0.0,0.0
"Palestine, State of",1000.0,13000.0,0.0,0.0,No quantity,,,,,169.0,0.0,0.0
Liberia,1000.0,12000.0,0.0,0.0,No quantity,,,,,167.0,0.0,0.0
Cuba,1000.0,12000.0,0.0,0.0,Tons,,,,,196.0,0.0,0.0
Andorra,1000.0,6000.0,0.0,0.0,No quantity,,,,,161.0,0.0,0.0
Bahamas,1000.0,-1000.0,0.0,0.0,No quantity,,,,,94.0,0.0,0.0
Guyana,1000.0,-1000.0,0.0,0.0,No quantity,,,,,114.0,0.0,0.0
Antigua and Barbuda,1000.0,-1000.0,0.0,0.0,No quantity,,-7.0,,,191.0,0.0,0.0
Algeria,,881000.0,,,nan,,,,,77.0,0.0,0.0
Pakistan,,682000.0,,,nan,,,,,78.0,0.0,0.0
Marshall Islands,,396000.0,,,nan,,,,,,,0.0
South Sudan,,246000.0,,,nan,,,,,158.0,0.0,0.0
Azerbaijan,,244000.0,,,nan,,,,,95.0,0.0,0.0
Mali,,238000.0,,,nan,,,,,96.0,0.0,0.0
Ship stores and bunkers,,181000.0,,,nan,,,,,168.0,0.0,
Angola,,161000.0,,,nan,,,,,124.0,0.0,0.0
Chad,,139000.0,,,nan,,,,,200.0,0.0,0.0
Senegal,,131000.0,,,nan,,,,,98.0,0.0,0.0
Uruguay,,127000.0,,,nan,,,,,113.0,0.0,0.0
Haiti,,111000.0,,,nan,,,,,92.0,0.0,0.0
Sri Lanka,,99000.0,,,nan,,,,,133.0,0.0,0.0
Malawi,,77000.0,,,nan,,,,,130.0,0.0,0.0
Equatorial Guinea,,72000.0,,,nan,,,,,,,0.0
Niger,,67000.0,,,nan,,,,,179.0,0.0,0.0
Rwanda,,64000.0,,,nan,,,,,146.0,0.0,0.0
Dominican Republic,,59000.0,,,nan,,,,,65.0,0.0,0.0
"Iran, Islamic Republic of",,54000.0,,,nan,,,,,135.0,0.0,0.0
Uganda,,53000.0,,,nan,,,,,74.0,0.0,0.0
Botswana,,45000.0,,,nan,,,,,88.0,0.0,0.0
Madagascar,,45000.0,,,nan,,,,,142.0,0.0,0.0
"Venezuela, Bolivarian Republic of",,45000.0,,,nan,,,,,143.0,0.0,0.0
Sierra Leone,,41000.0,,,nan,,,,,149.0,0.0,0.0
Mongolia,,41000.0,,,nan,,,,,160.0,0.0,0.0
Turkmenistan,,36000.0,,,nan,,,,,171.0,0.0,0.0
Gabon,,32000.0,,,nan,,,,,106.0,0.0,0.0
Jamaica,,30000.0,,,nan,,,,,102.0,0.0,0.0
Mauritania,,26000.0,,,nan,,,,,189.0,0.0,0.0
El Salvador,,24000.0,,,nan,,,,,84.0,0.0,0.0
"Macao, China",,18000.0,,,nan,,,,,60.0,0.0,0.0
Guinea-Bissau,,16000.0,,,nan,,,,,195.0,0.0,0.0
Turks and Caicos Islands,,15000.0,,,nan,,,,,177.0,0.0,0.0
Cayman Islands,,14000.0,,,nan,,,,,105.0,0.0,0.0
New Caledonia,,11000.0,,,nan,,,,,116.0,0.0,0.0
Djibouti,,11000.0,,,nan,,,,,184.0,0.0,0.0
Eswatini,,10000.0,,,nan,,,,,125.0,0.0,0.0
Lao People's Democratic Republic,,10000.0,,,nan,,,,,152.0,0.0,0.0
Greenland,,8000.0,,,nan,,,,,131.0,0.0,0.0
Gambia,,8000.0,,,nan,,,,,,,0.0
