Exporters	2020-Imported unit value, US Dollar/Tons	2021-Imported unit value, US Dollar/Tons	2022-Imported unit value, US Dollar/Tons	2023-Imported unit value, US Dollar/Tons	2024-Imported unit value, US Dollar/Tons	Imported value in 2024, US Dollar thousand	Imported quantity in 2024, Tons	
"World"	29964	31202	32146	38358	38643	1173800	30375.63	
"Switzerland"	83004	85708	78337	81471	82420	364708	4425	
"China"	23126	21530	21532	22041	21995	197826	8994	
"Hungary"	52143	58111	71928	89867	124004	57414	463	
"Italy"	14391	15256	15494	17765	15240	54987	3608	
"Czech Republic"	26034	28733	28105	50973	53532	47162	881	
"Netherlands"	17778	19305	19165	30417	65129	46828	719	
"Thailand"	28956	31666	26324	21686	17609	45960	2610	
"France"	37561	39311	37198	45873	57940	37951	655	
"Romania"	34556	27739	28162	37800	50235	35114	699	
"United States of America"	164159	170368	208103	213951	212731	27655	130	
"Poland"	18768	20682	22911	57298	52295	24631	471	
"Philippines"	29964	31202	32146	38358	38643	22597	584.77	
"Serbia"	22957	36334	37408	29483	26858	22104	823	
"Slovakia"	19882	22075	20994	25134	24607	18603	756	
"Viet Nam"	13036	14618	15665	15757	17363	18110	1043	
"India"	21917	22494	30099	33251	26497	17435	658	
"Japan"	52839	79387	98148	93517	38643	14988	387.86	
"Austria"	42716	38568	35136	38199	43188	14943	346	
"Slovenia"	31020	37979	58739	65908	67985	13325	196	
"Sweden"	69263	79857	86092	94288	99350	11624	117	
"Macedonia, North"			25409	26846	28846	11019	382	
"United Kingdom"	44890	82010	84414	112341	139872	10910	78	
"Mexico"	53157	51103	36284	25145	28210	9140	324	
"Denmark"	55348	58906	66698	65300	60619	6850	113	
"Ireland"	34128	36248	35056	38317	39544	6248	158	
"Korea, Republic of"	22715	31547	31679	32371	44609	5933	133	
"Malaysia"	36395	36832	39577	48040	45128	4242	94	
"Spain"	14131	16330	16241	22387	24424	4030	165	
"Portugal"	21852	25960	90087	56346	65746	3879	59	
"Taipei, Chinese"	40931	39819	40122	47547	50333	3775	75	
"Myanmar"	34955	36571	38940	36508	41226	2556	62	
"Canada"	115000	82500	98333	107103	86125	2067	24	
"Israel"	279800	300400	323600	330000	337000	2022	6	
"Morocco"	77786	75417	73000	85696	76625	1839	24	
"Belgium"	57871	31450	46591	71000	86250	1035	12	
"Hong Kong, China"	29061	28309	32573	34766	40000	680	17	
"Tunisia"	5000			117000	72667	654	9	
"Singapore"	176571	109125	313667	59789	622000	622	1	
"Türkiye"	22188	27600	33111	28789	34556	622	18	
"Bulgaria"	43409	39267	26000	62500	101250	405	4	
"Indonesia"	26500	16611	15617	15595	18300	366	20	
"Cambodia"	98000	69667	65333	46000	22143	310	14	
"Brazil"	36415	33577	21165	21175	30625	245	8	
"Finland"			32000	76000		58	0	
"Argentina"				11667	7800	39	5	
"Norway"			89000			28	0	
"South Africa"	9000		29500	26000		26	0	
"Australia"						25	0	
"Luxembourg"				52000		23	0	
"Greece"	45000					20	0	
"Lithuania"						20	0	
"El Salvador"					9500	19	2	
"Latvia"						17	0	
"Bosnia and Herzegovina"			16000		15000	15	1	
"United Arab Emirates"	37250					13	0	
"Saudi Arabia"						12	0	
"Albania"				11000	11000	11	1	
"Eswatini"						11	0	
"Estonia"		34000				10	0	
"New Zealand"						8	0	
"Croatia"		22000		21250		7	0	
"Mauritius"						7	0	
"Iceland"						6	0	
"Bahamas"						3	0	
"Egypt"						3	0	
"Georgia"						2	0	
"Bahrain"						1	0	
"Chile"						1	0	
"Oman"						1	0	
"Faroe Islands"						0	0	
"Ukraine"						0	0	
"Armenia"						0	0	
"Colombia"						0	0	
"Costa Rica"						0	0	
"Kuwait"						0	0	
"Malta"						0	0	
"Cayman Islands"								
"Algeria"								
"Bangladesh"								
"Belarus"								
"Cameroon"								
"Central African Republic"								
"Sri Lanka"								
"Cyprus"								
"Ecuador"								
"Ghana"								
"Haiti"								
"Honduras"								
"Jamaica"								
"Kazakhstan"								
"Lebanon"								
"Macao, China"								
"Moldova, Republic of"								
"Pakistan"	124000							
"Panama"								
"Peru"								
"Qatar"								
"Russian Federation"								
"Saint Kitts and Nevis"								
"Sierra Leone"								
"Sudan"								
"Suriname"								
"Tanzania, United Republic of"								
"Uruguay"								
