Importers	2020-Exported quantity, Units	2021-Exported quantity, Units	2022-Exported quantity, Units	2023-Exported quantity, Units	2024-Exported quantity, Units	
"World"	17067	22436	64629	31555	20997	
"Zimbabwe"	2056	1013	4286	355	4328	
"Namibia"	2199	3406	2469	2410	4136	
"Botswana"	2224	4833	2753	2515	2182	
"Zambia"	4572	2867	1805	2378	1725	
"Eswatini"	1221	1503	2441	1547	1365	
"Lesotho"	487	1157	35710	1424	942	
"Mozambique"	435	554	513	1281	867	
"Angola"	72	231	1324	325	699	
"United Kingdom"	299	227	348	241	647	
"Malawi"	171	405	10052	25	563	
"Congo, Democratic Republic of the"	159	820	367	822	523	
"Uganda"	138	15	9	19	463	
"Germany"	413	1287	181	6732	426	
"China"	3	6	3	965	420	
"Seychelles"	248	41	276	59	174	
"Kenya"	47	57	63	192	136	
"United States of America"	52	69	87	9393	126	
"Nigeria"	10	9	20	13	106	
"Pakistan"		100			106	
"Tunisia"				37	105	
"Singapore"	2	23	13	6	99	
"Netherlands"	31	44	106	105	97	
"Australia"	1247	64	15	19	73	
"Tanzania, United Republic of"	214	197	187	31	72	
"Côte d'Ivoire"	4	42	41	12	62	
"Area Nes"	4	20	67	36	56	
"Philippines"			5	2	55	
"Mauritius"	62	78	31	50	52	
"Belgium"	53	40	37	36	50	
"Rwanda"	4		25	31	42	
"United Arab Emirates"	6	17	72	34	37	
"Hong Kong, China"				3	35	
"Mali"	54	147	180	12	26	
"Saudi Arabia"	7	2	4	1	22	
"Canada"	2	1	1	5	20	
"Madagascar"	44	68	197	194	16	
"Guinea"	39	19	8	2	13	
"Italy"	49	1	8	1	13	
"Somalia"					12	
"Ghana"	53	113	165	25	12	
"France"	32	5	3	13	11	
"Senegal"	13	4		7	11	
"Ship stores and bunkers"			3	6	9	
"Mexico"				17	7	
"Ethiopia"	13	8			5	
"Gabon"	22	35		55	5	
"Sao Tome and Principe"					5	
"Malaysia"				1	4	
"Mauritania"		3		6	4	
"Guyana"					3	
"Morocco"					3	
"Brazil"	18				2	
"Dominican Republic"		5			2	
"Niger"					2	
"Sierra Leone"	10	1	151	22	2	
"Sweden"	1	7	202		2	
"Burkina Faso"	7	29	10	13	2	
"Saint Helena"				1	1	
"Austria"		1		1	1	
"Czech Republic"				1	1	
"Spain"			2		1	
"Chad"				10		
"Djibouti"		9				
"Algeria"		4				
"Andorra"			1			
"Argentina"	4	6				
"Bulgaria"	21					
"Burundi"		8				
"Cameroon"	21	58	16			
"Chile"		7	2	7		
"Comoros"		260				
"Congo"	1	252	1	3		
"Croatia"		1				
"Denmark"		1				
"Eritrea"	1	1				
"Fiji"	10					
"Gambia"				6		
"Greece"			2			
"Indonesia"		2	1			
"Ireland"			1			
"Israel"			13			
"Japan"	9	3	1	4		
"Kazakhstan"	25		1			
"Korea, Republic of"				9		
"Kyrgyzstan"		1				
"Lao People's Democratic Republic"		1				
"Latvia"		1				
"Liberia"	3					
"Maldives"		5				
"Taipei, Chinese"			3	2		
"Nepal"			4			
"Curaçao"				4		
"New Zealand"	120	36				
"Poland"			1	1		
"Portugal"	4					
"Qatar"	14					
"Russian Federation"			2	3		
"India"	14	2185	2	7		
"Slovakia"				1		
"Viet Nam"	1					
"Sudan"	2		2	1		
"Suriname"		1				
"Switzerland"	1		1			
"Thailand"		2	2	1		
"Trinidad and Tobago"				1		
"Türkiye"		8	300	2		
"Egypt"	4		3	1		
"Venezuela, Bolivarian Republic of"			17			
