Importers	Imported value in 2020	Imported value in 2021	Imported value in 2022	Imported value in 2023	Imported value in 2024	
"World"	13392528	16731148	16838224	15827372	16289143	
"United States of America"	1950397	2225138	2324850	2270549	2279235	
"Korea, Republic of"	934635	1884213	2328382	1756123	1823791	
"China"	1411556	1629009	1452594	1290568	1258876	
"Germany"	1206308	1405775	1299447	1214461	1173800	
"Mexico"	566286	703345	742629	794217	893275	
"Hong Kong, China"	779699	900461	548449	423872	645412	
"Japan"	524206	652687	652052	602420	583235	
"Thailand"	420792	542764	551573	507114	579837	
"Czech Republic"	444061	512609	480669	511562	493243	
"India"	175913	254040	298160	327856	380307	
"Viet Nam"	216363	252215	318035	309736	369211	
"France"	286125	334132	361783	358885	348237	
"Netherlands"	149967	208213	280466	332746	337935	
"Italy"	245446	338899	382491	340959	336572	
"Poland"	242763	262679	254346	292595	328051	
"Canada"	274507	316250	342413	370533	322645	
"United Kingdom"	226259	268158	321375	322658	286666	
"Austria"	215798	282822	269185	280012	257950	
"Spain"	185747	205358	214128	216055	236320	
"Hungary"	234987	245997	236109	247175	233951	
"Slovakia"	150578	206027	212871	269102	229947	
"Brazil"	152191	198398	181449	171976	223600	
"Türkiye"	198561	247909	227923	248616	220832	
"Philippines"	55036	82175	121192	122254	207008	
"Malaysia"	216520	257768	264014	202620	190108	
"Switzerland"	175839	210520	208025	167446	159019	
"Singapore"	138217	180294	177406	136864	157499	
"Taipei, Chinese"	186522	233147	189712	159506	156619	
"Romania"	140804	170886	143775	138339	133231	
"Indonesia"	86481	114611	111249	95068	106206	
"Australia"	70026	78961	111707	127494	99915	
"Portugal"	60395	68457	87354	86602	85758	
"Sweden"	68954	72930	72044	81794	83214	
"Denmark"	90491	90293	76206	76975	80793	
"Belgium"	50346	68272	58015	62544	73815	
"United Arab Emirates"	42993	43018	49880	56664	72438	
"Russian Federation"	130258	164897	60129	61619	65204	
"Israel"	45452	45253	50857	48336	55447	
"Ireland"	27328	38185	42402	43607	46108	
"Ukraine"	16869	33297	22379	25215	35058	
"Argentina"	30892	49164	47226	47944	33736	
"Uzbekistan"	12667	9458	18096	26490	32790	
"Finland"	31468	41270	38471	29536	31056	
"Norway"	18185	20469	23790	29840	30616	
"Egypt"	23729	29853	34957	25818	30065	
"South Africa"	15016	25560	25421	26085	27897	
"Slovenia"	27793	38211	33957	25919	22839	
"Iran, Islamic Republic of"	30999	37943	47096	61025	22057	
"Serbia"	71647	67488	18825	15032	21870	
"Macedonia, North"	2277	2965	7598	17027	20491	
"Saudi Arabia"	12985	16762	41621	24131	18709	
"Morocco"	6340	13915	19818	16083	17687	
"Lithuania"	26454	33360	23608	22260	17092	
"Bulgaria"	11844	16850	17783	15334	16430	
"Pakistan"	13073	20754	19356	9438	15967	
"Dominican Republic"	9319	12871	17516	15853	15434	
"Kazakhstan"	7754	8440	1490	13343	13445	
"Bangladesh"	5749	9485	12160	12979	12977	
"Greece"	9998	11638	13326	15592	12851	
"Colombia"	9930	13188	15466	13138	12700	
"Croatia"	7097	8992	7655	10171	12480	
"Chile"	6959	9731	10131	9788	11373	
"New Zealand"	7859	9427	12527	8641	10166	
"Cambodia"	34738	22970	9528	9708	9393	
"Algeria"	5916	5175	6719	8254	9317	
"Costa Rica"	3543	3740	4045	5504	8295	
"Peru"	5542	6867	7646	6004	7787	
"Iraq"	3877	4528	4940	4928	7187	
"Ecuador"	3286	5168	5956	5622	5806	
"Tunisia"	11919	9459	9608	9139	5525	
"Qatar"	4416	5238	6121	4430	5492	
"Estonia"	5160	5767	5168	6775	4980	
"Sri Lanka"	2514	4301	5069	4265	4422	
"Belarus"	18355	20550	3762	3485	4328	
"Latvia"	2796	3981	4803	4246	4311	
"Luxembourg"	2558	2842	3032	3328	3975	
"Guatemala"	1524	2042	2708	2797	3601	
"Bosnia and Herzegovina"	3148	4459	4496	3129	3579	
"Oman"	6162	3580	2780	2317	3215	
"Azerbaijan"	1766	1744	2652	3922	3041	
"Nigeria"	11307	5290	10661	4115	2999	
"Kuwait"	3517	3285	3139	2627	2286	
"Yemen"	2032	1790	1652	1767	2276	
"Lebanon"	1289	1422	1870	1410	2273	
"Angola"	1042	1203	4612	4371	2226	
"Trinidad and Tobago"	1481	1167	2174	2293	2101	
"Bahamas"	834	1302	1273	1039	1990	
"Venezuela, Bolivarian Republic of"	450	1129	1584	1599	1948	
"Myanmar"	2415	1907	1541	1048	1940	
"Jordan"	1490	1405	2004	1837	1892	
"Panama"	3480	3464	16748	3881	1849	
"Papua New Guinea"	1635	1631	1749	2925	1739	
"Moldova, Republic of"	1217	1922	1891	1311	1736	
"Bahrain"	1043	1148	1179	1271	1647	
"Honduras"	761	1402	1456	1227	1598	
"Botswana"	866	1818	1292	1374	1594	
"Uruguay"	936	1084	1162	1412	1518	
"Brunei Darussalam"	612	436	434	357	1513	
"Albania"	298	168	7	949	1492	
"Kenya"	2488	2774	2269	1544	1453	
"Libya, State of"	742	634	1241	1295	1431	
"Mongolia"	1087	650	1317	888	1423	
"Namibia"	979	1536	1368	1479	1413	
"Cyprus"	1072	1052	1106	1770	1405	
"Zambia"	1075	1925	1192	2635	1405	
"Malta"	1121	1453	1548	1104	1399	
"Guyana"	725	566	866	980	1393	
"Suriname"	470	1413	1313	990	1385	
"Armenia"	432	563	831	1236	1335	
"El Salvador"	1258	1195	1327	1387	1321	
"Iceland"	873	937	1089	1136	1289	
"Paraguay"	703	965	949	970	1241	
"Mauritius"	896	1003	1319	1162	1163	
"Ghana"		3290	4616	2710	1154	
"Zimbabwe"	350	667	500	952	1067	
"Côte d'Ivoire"	569	777	1818	745	982	
"Georgia"	634	841	963	988	966	
"Tanzania, United Republic of"	828	1044	932	1189	919	
"Nicaragua"	568	655	1018	773	861	
"Lao People's Democratic Republic"	3150	767	1447	3066	808	
"Mozambique"	617	746	805	783	793	
"Ethiopia"	1158	952	1392	3151	792	
"Eswatini"	180	243	320	332	701	
"Fiji"	357	373	775	436	699	
"Cuba"	1716	1862	865	842	684	
"Ship stores and bunkers"	105	133	526	719	684	
"Congo, Democratic Republic of the"	720	628	963	1952	677	
"Bolivia, Plurinational State of"	451	572	486	814	676	
"Kyrgyzstan"	98	302	1102	1268	660	
"Uganda"	874	1123	703	929	608	
"Tajikistan"	117	340	137	267	596	
"Burkina Faso"	220	165	162	206	556	
"Seychelles"	196	353	391	339	548	
"Barbados"	291	358	434	456	531	
"Jamaica"	1019	1180	1606	1866	469	
"Nepal"	545	1240	985	520	460	
"Cameroon"	203	343	185	332	457	
"Turkmenistan"	262	371	334	500	455	
"Aruba"	252	265	412	390	386	
"Senegal"	475	189	569	517	382	
"Antigua and Barbuda"	231	252	242	319	376	
"Guinea"	388	461	330	181	359	
"Syrian Arab Republic"	605	314	805	427	356	
"Saint Vincent and the Grenadines"	79	95	86	144	348	
"Belize"	136	216	400	322	343	
"Congo"	1551	104	163	125	327	
"Turks and Caicos Islands"	97	183	72	83	326	
"Lesotho"	162	183	303	234	324	
"Haiti"	245	155	297	125	312	
"Djibouti"		1	1067	478	306	
"Montenegro"	180	229	290	266	298	
"Cayman Islands"	87	35	91	180	290	
"Liberia"	44	503	1421	1040	285	
"Gabon"	177	218	222	681	282	
"Rwanda"	237	96	136	49	268	
"Afghanistan"	618	291	588	611	254	
"Malawi"	191	247	196	258	236	
"Maldives"	119	203	130	225	226	
"French Polynesia"	171	275	256	282	217	
"Bermuda"	93	86	83	134	207	
"Faroe Islands"	219	242	126	121	206	
"Equatorial Guinea"	62	93	169	257	200	
"Bhutan"	78	114	91	79	187	
"Marshall Islands"	110	96	193	109	171	
"Solomon Islands"	12	19	28	25	158	
"Timor-Leste"	21	14	84	43	150	
"Curaçao"	223	123	165	120	138	
"Cabo Verde"	79	97	138	129	131	
"Gibraltar"	45	34	42	52	128	
"Sudan"	630	367	580	286	124	
"New Caledonia"	244	251	175	410	115	
"Mali"	112	390	216	443	109	
"Saint Kitts and Nevis"	47	65	266	58	109	
"Madagascar"	310	292	257	160	106	
"Andorra"	72	120	93	244	106	
"Sierra Leone"	64	18	191	103	98	
"Central African Republic"	2	60	12	246	96	
"Palestine, State of"	938	1568	3187	1417	95	
"Togo"	187	95	29	63	87	
"Mauritania"	35	40	24	43	79	
"Samoa"	17	62	26	26	75	
"Macao, China"	0	0	369	180	74	
"Burundi"	48	24	55	31	68	
"Greenland"	19	38	42	67	67	
"Grenada"	57	55	60	57	59	
"Saint Lucia"	136	61	22	62	56	
"Vanuatu"	24	67	12	80	53	
"Sint Maarten (Dutch part)"	6	24	5	16	51	
"Somalia"	549	340	174	141	51	
"Christmas Island"	5	3	4	7	41	
"United States Minor Outlying Islands"	23	45	8	30	38	
"British Virgin Islands"	93	53	53	125	37	
"Tonga"	14	23	89	41	36	
"Eritrea"	14	40	4		32	
"Benin"	37	35	75	80	27	
"Kiribati"	12	22	10	2	26	
"Comoros"	9	2	13	1	21	
"Niger"	31	227	20	19	19	
"South Sudan"	4	19	23	13	18	
"Saint Pierre and Miquelon"	8	12	12	25	14	
"Nauru"		3	5	2	14	
"Cocos (Keeling) Islands"		1	11		13	
"Chad"	211	18	17	21	13	
"Anguilla"		33	50	29	13	
"Norfolk Island"				345	13	
"Guinea-Bissau"	25	4	17	3	11	
"Palau"	21		17	17	11	
"Cook Islands"			7	12	10	
"Bonaire, Sint Eustatius and Saba"	14	15	3	11	9	
"Sao Tome and Principe"	18	44	53	33	9	
"Gambia"	1	6	2	0	7	
"Montserrat"	3	20	6	8	6	
