Importers	2020-Exported unit value, US Dollar/Units	2021-Exported unit value, US Dollar/Units	2022-Exported unit value, US Dollar/Units	2023-Exported unit value, US Dollar/Units	2024-Exported unit value, US Dollar/Units	Exported value in 2024, US Dollar thousand	Exported quantity in 2024, Units	
"World"	227	274	82	233	528	11088	20997	
"United States of America"	231	3333	4736	193	28159	3548	126	
"Botswana"	227	208	259	577	542	1182	2182	
"Namibia"	297	264	328	309	237	981	4136	
"Canada"	2000	1000	4000	3800	36700	734	20	
"Lesotho"	101	83	5.46	103	758	714	942	
"Zambia"	115	309	481	306	395	682	1725	
"France"	219	200	333	538	45636	502	11	
"Mozambique"	786	655	686	269	448	388	867	
"Eswatini"	135	154	120	204	231	315	1365	
"Congo, Democratic Republic of the"	1384	439	997	482	556	291	523	
"Madagascar"	1477	456	107	134	15375	246	16	
"Zimbabwe"	154	402	44	493	57	245	4328	
"Angola"	3500	234	147	535	336	235	699	
"Côte d'Ivoire"	250	190	73	1083	2565	159	62	
"Uganda"	123	400	778	1000	220	102	463	
"United Kingdom"	268	119	106	241	148	96	647	
"Tanzania, United Republic of"	397	706	722	3226	861	62	72	
"Mali"	148	483	350	2500	2077	54	26	
"Spain"			0		51000	51	1	
"Kenya"	85	88	413	250	279	38	136	
"Mexico"				118	5143	36	7	
"Area Nes"	250	2300	1060	750	625	35	56	
"Seychelles"	36	171	76	102	195	34	174	
"Senegal"	1077	750		3429	2455	27	11	
"Mauritania"		9667		3667	6000	24	4	
"Ghana"	189	195	333	1640	1917	23	12	
"Germany"	167	413	287	15	49	21	426	
"Malawi"	836	89	6.67	1000	37	21	563	
"Australia"	30	438	133	1789	274	20	73	
"Belgium"	264	225	486	500	400	20	50	
"Pakistan"		10			170	18	106	
"United Arab Emirates"	0	706	319	118	405	15	37	
"Ship stores and bunkers"			1000	1500	1556	14	9	
"Netherlands"	226	68	85	86	144	14	97	
"Rwanda"	250		600	226	310	13	42	
"Ethiopia"	154	625			2200	11	5	
"Malaysia"				0	2750	11	4	
"Mauritius"	371	218	194	140	212	11	52	
"Hong Kong, China"				333	286	10	35	
"Nigeria"	400	333	300	231	94	10	106	
"Dominican Republic"		23200			4000	8	2	
"Guinea"	359	947	4125	1000	615	8	13	
"Italy"	204	3000	875	2000	615	8	13	
"Singapore"	1000	2913	1308	500	71	7	99	
"Tunisia"				0	57	6	105	
"China"	333	2833	0	53	12	5	420	
"Guyana"					1333	4	3	
"Philippines"			600	4000	73	4	55	
"Saudi Arabia"	1286	1500	2000	2000	182	4	22	
"Sierra Leone"	2700	2000	629	3273	2000	4	2	
"Burkina Faso"	2143	621	400	1154	2000	4	2	
"Brazil"	167				1500	3	2	
"Morocco"					1000	3	3	
"Saint Helena"				6000	1000	1	1	
"Somalia"					83	1	12	
"Czech Republic"				1000	1000	1	1	
"Gabon"	136	114		73	200	1	5	
"Niger"					500	1	2	
"Sao Tome and Principe"					200	1	5	
"Austria"		1000		11000	0	0	1	
"Sweden"	0	5429	4.95		0	0	2	
"Chad"				500				
"Djibouti"		333						
"Algeria"		17250						
"Andorra"			1000					
"Argentina"	750	1500						
"Bulgaria"	0							
"Burundi"		250						
"Cameroon"	48	34	63					
"Chile"		857	500	429				
"Comoros"		15						
"Congo"	5000	48	1000	2333				
"Croatia"		0						
"Denmark"		0						
"Eritrea"	7000	33000						
"Fiji"	2100							
"Gambia"				500				
"Greece"			0					
"Indonesia"		500	3000					
"Ireland"			6000					
"Israel"			0					
"Japan"	0	0	0	41500				
"Kazakhstan"	1840		1000					
"Korea, Republic of"				111				
"Kyrgyzstan"		2000						
"Lao People's Democratic Republic"		4000						
"Latvia"		18000						
"Liberia"	1333							
"Maldives"		200						
"Taipei, Chinese"			0	0				
"Nepal"			1000					
"Curaçao"				750				
"New Zealand"	242	333						
"Poland"			0	0				
"Portugal"	0							
"Qatar"	143							
"Russian Federation"			3000	2667				
"India"	357	15	5500	2714				
"Slovakia"				0				
"Viet Nam"	0							
"Sudan"	5000		1000	1000				
"Suriname"		1000						
"Switzerland"	13000		0					
"Thailand"		13500	5500	5000				
"Trinidad and Tobago"				1000				
"Türkiye"		5500	83	3500				
"Egypt"	250		333	0				
"Venezuela, Bolivarian Republic of"			412					
