Importers	Imported value in 2020	Imported value in 2021	Imported value in 2022	Imported value in 2023	Imported value in 2024	
"World"	177780115	215788464	194302381	163889746	176347449	
"United States of America"	51636353	60789833	54530352	46287585	49969257	
"Germany"	13654158	17804635	14668630	11430685	12619159	
"Japan"	11359563	9919508	8956962	7486439	8802159	
"United Kingdom"	9118776	9591621	6163396	7119650	7692247	
"Hong Kong, China"	6496813	8347013	6994720	5442785	6454867	
"India"	4523829	7353545	6894061	5392242	5863291	
"Netherlands"	6819220	6995731	6136762	4192287	5793894	
"United Arab Emirates"	4074236	5085855	5914620	6106355	5308656	
"France"	5307294	6429444	5467271	4625303	5143368	
"Canada"	5191923	5860425	5571231	4737510	4876388	
"Czech Republic"	4776757	5764491	5662982	4059612	4318278	
"Australia"	3886596	4425549	4687970	3554247	3845408	
"Korea, Republic of"	3470964	4365444	4444466	3268241	3382513	
"Italy"	3577385	4137564	3491052	2904232	3255125	
"Mexico"	1861632	2802371	2470089	2308397	2712208	
"Singapore"	2117912	2901987	2944468	2076878	2416486	
"Spain"	2266035	2279581	2716432	2179523	2294131	
"Sweden"	2288409	3002115	2755430	2179159	2271113	
"Poland"	1993421	2459288	2340027	2087983	2179500	
"Thailand"	1527056	2497124	1992258	1920926	2003250	
"Russian Federation"	2512263	3327306	2233311	2356436	1964909	
"Belgium"	1765161	2282774	1914245	1811834	1900813	
"Saudi Arabia"	1013260	1133247	1357815	1131079	1628453	
"Switzerland"	1519946	1677588	1882901	1444044	1588236	
"Türkiye"	1272762	1468771	1449702	1873423	1530648	
"Indonesia"	887139	1824917	1688411	1167043	1381743	
"Taipei, Chinese"	1311670	1982388	2099760	1241546	1369928	
"Denmark"	1285710	1790328	1475089	1315885	1332608	
"China"	217778	405449	624323	1795897	1310871	
"Malaysia"	1132302	1846831	1437506	1147201	1097195	
"Austria"	929090	1035078	944798	819181	1017544	
"South Africa"	777304	1295307	1103940	921433	979299	
"Hungary"	498793	560768	645818	602205	861073	
"Colombia"	711250	973113	1055415	637241	846026	
"Norway"	837494	989110	953143	824149	822770	
"Viet Nam"	548623	1298534	1297212	793954	802824	
"Greece"	682519	718309	942984	870447	762475	
"Israel"	726373	815104	814721	567708	717901	
"Chile"	847282	1411767	911653	653283	713770	
"Romania"	580224	705026	689302	624778	692426	
"Slovakia"	539736	755395	648764	789036	675666	
"Finland"	650024	822847	789400	646964	651094	
"Ireland"	627087	743420	649448	486940	599211	
"Philippines"	482063	696978	665157	461234	581861	
"Portugal"	557417	844980	653888	501170	576982	
"Peru"	677087	925258	774162	467398	568954	
"New Zealand"	609284	758180	675413	529927	532599	
"Ukraine"	378649	552517	454611	458369	489602	
"Panama"	355990	343046	262558	279522	428597	
"Kazakhstan"	342351	293726	3241	364797	340486	
"Argentina"	451913	630620	552022	419129	302791	
"Lithuania"	265896	377087	327752	299493	296159	
"Paraguay"	87424	217504	274733	289989	279279	
"Bulgaria"	198130	285619	269288	230885	240012	
"Pakistan"	200875	312056	262311	222811	217761	
"Qatar"	165558	191302	249463	175501	215967	
"Brazil"	192361	251919	244116	141680	215919	
"Costa Rica"	212495	228508	271449	182569	210373	
"Ecuador"	205555	239130	229799	212260	205106	
"Macao, China"	112975	197991	205498	159346	203357	
"Kuwait"	282954	246945	248332	193889	183806	
"Guatemala"	140654	207391	195081	162549	162930	
"Latvia"	133771	180449	171799	167347	161545	
"Croatia"	149815	167414	157901	148141	157764	
"Morocco"	133288	161261	149435	116667	155597	
"Armenia"	18547	20366	89140	107087	152408	
"Estonia"	97184	146019	131874	125723	143842	
"Serbia"	77096	112689	114486	111800	132162	
"Slovenia"	116256	152620	142926	122090	129252	
"El Salvador"	58845	303207	219043	100858	126768	
"Egypt"	363261	362726	223221	98904	117316	
"Luxembourg"	104591	106864	99917	84824	101512	
"Oman"	175714	142983	118252	87565	95761	
"Georgia"	37070	61159	90113	87111	91017	
"Bahrain"	87058	75153	76831	73304	82090	
"Uruguay"	60992	85973	74712	74497	81932	
"Azerbaijan"	48643	80050	85369	86517	81262	
"Dominican Republic"	153936	302281	152562	83315	76781	
"Uzbekistan"	13800	28147	45842	37268	75693	
"Bangladesh"	86796	139622	122705	58494	74597	
"Tunisia"	59133	79472	100053	71937	72392	
"Sri Lanka"	108936	215614	71029	52203	64740	
"Cyprus"	43658	58602	55754	61191	62676	
"Nepal"	49848	112939	65275	52287	60780	
"Uganda"	19008	26196	23507	20020	57557	
"Honduras"	39615	77036	52472	55887	56587	
"Moldova, Republic of"	25585	33199	52333	39281	49235	
"Mongolia"	12991	31299	40844	42383	42032	
"Venezuela, Bolivarian Republic of"	8595	12989	22377	26022	41991	
"Iceland"	41812	55646	54666	41049	41660	
"Mauritius"	30585	50796	44805	45482	40478	
"Ghana"		28223	21496	24879	39593	
"Iraq"	351657	292450	330793	324919	38135	
"Angola"	18735	32193	51206	28414	37763	
"Malta"	26746	38565	41018	32584	36458	
"Kenya"	37286	39150	53964	39517	36221	
"Botswana"	19613	26314	37627	26753	32613	
"Papua New Guinea"	15806	30749	33144	19894	31754	
"Macedonia, North"	32667	42076	34307	31994	29554	
"Bosnia and Herzegovina"	24777	31796	31822	26284	28949	
"Zimbabwe"	21048	29200	37171	32886	27179	
"Ethiopia"	31128	21406	33845	43476	24806	
"Tanzania, United Republic of"	19335	27331	69890	28457	24478	
"Belarus"	105278	142138	37091	79042	21667	
"Jamaica"	38959	38898	31620	29204	20282	
"Nicaragua"	21186	28700	25198	19045	19777	
"Jordan"	56533	69877	73837	71835	18495	
"Fiji"	9298	15631	16194	17713	16925	
"Trinidad and Tobago"	30629	22914	16871	18327	16878	
"Namibia"	17269	26256	23489	19481	16806	
"Zambia"	20384	23206	18342	17544	16445	
"Mozambique"	9743	14636	18275	16759	15746	
"Côte d'Ivoire"	22135	15417	19903	21370	15249	
"Turkmenistan"	11504	16097	91153	48062	15155	
"Montenegro"	8200	9138	13591	14188	15146	
"Barbados"	17043	25004	14665	15246	14898	
"Albania"	14071	14476	14	17237	14889	
"Algeria"	19132	26622	28108	20088	14588	
"Malawi"	5847	9011	9383	11345	12851	
"Maldives"	10243	16410	17565	14010	12707	
"Cayman Islands"	10745	15961	13195	16322	11956	
"Lebanon"	23275	51271	67125	33719	11923	
"Brunei Darussalam"	59590	25953	30461	13091	11725	
"Senegal"	5704	4076	10127	9546	11007	
"Nigeria"	23500	22090	73953	75045	10924	
"Kyrgyzstan"	7309	7918	15396	18671	10871	
"Andorra"	11100	11333	11651	9438	10837	
"Faroe Islands"	5308	5069	3308	4746	10836	
