Exporters	2020-Imported quantity, Units	2021-Imported quantity, Units	2022-Imported quantity, Units	2023-Imported quantity, Units	2024-Imported quantity, Units	
"World"	122357320	138069595	113577372	101339604	101436364	
"China"	112103850	128594829	104939483	84036348	74417296	
"Viet Nam"	6125563	5849386	5485471	13682203	21871542	
"Taipei, Chinese"	2429629	2361160	2446075	2289479	2092391	
"Mexico"	463958	153986	22755	111796	1057975	
"Thailand"	9801	7480	30149	38102	939830	
"Hong Kong, China"	179540	231338	231425	614110	326007	
"Indonesia"	490341	360869	23270	87048	186482	
"United Arab Emirates"	29859	23591	24768	87552	118542	
"Korea, Republic of"	102348	119286	69725	68104	83382	
"Canada"	52441	45604	38223	64396	77067	
"Malaysia"	58626	55837	37789	25151	45678	
"India"	932	1577	3166	8694	39580	
"Japan"	90475	64449	36658	23160	25178	
"Germany"	51056	27513	27545	25293	23210	
"Switzerland"	1814	3541	11782	2097	17306	
"United Kingdom"	28021	31113	39896	38396	12435	
"Australia"	11684	14704	10832	10190	11839	
"Poland"	16951	4659	3776	5129	8614	
"France"	12495	13709	3470	1922	7211	
"Montserrat"	10		1		6384	
"Singapore"	14763	33468	27436	4099	5916	
"Italy"	8404	10672	10880	9088	5604	
"Costa Rica"	2098	321	15819	4780	5526	
"Peru"	1270	1674	1261	1	5500	
"Brazil"	1004	2672	737	598	4910	
"Denmark"	2394	2614	4141	25373	4756	
"Netherlands"	2892	4109	6165	12235	4009	
"Philippines"	25247	2967	895	1715	3561	
"South Africa"	1475	1704	1884	2290	2906	
"Panama"	706	102	180	3092	2617	
"Israel"	6154	5054	4601	3897	2462	
"Norway"	952	5609	109	216	2385	
"Sweden"	2715	963	606	2643	2087	
"Slovenia"	1225	2471	2275	9180	1573	
"Ireland"	1324	1385	1010	721	1521	
"Bulgaria"	885	63	1059	17	1500	
"Czech Republic"	500	1374	585	1005	1257	
"Spain"	2071	1636	4099	4398	1255	
"New Zealand"	127	58	106	19905	1197	
"Slovakia"	1028	1038	737	595	910	
"Chile"	32	36	72	1485	909	
"Hungary"	2719	861	576	507	748	
"Belgium"	487	2146	755	921	734	
"Austria"	1891	278	434	2586	672	
"Cayman Islands"		33	1	2707	615	
"Finland"	1085	408	604	928	535	
"Romania"	123	73	324	58	418	
"Colombia"	1981	200	139	145	348	
"Argentina"	91	96	66	26	343	
"Congo, Democratic Republic of the"		24			259	
"Belize"		1			255	
"Saudi Arabia"	25	65	14	134	210	
"Jamaica"	1	9	203	84	128	
"Luxembourg"	1	1	31	115	114	
"Dominican Republic"	4	27	243	3045	102	
"British Virgin Islands"			1		59	
"Eswatini"			8	1	54	
"Portugal"	344	2	112	148	49	
"Sierra Leone"	34	75	203	8	38	
"Ukraine"	55	383	15	3	37	
"Bahamas"	70		4	1	31	
"El Salvador"		3	89	16	27	
"Namibia"	430	838		4	27	
"Croatia"	4242	9763	5	2	23	
"Kenya"	1	3	11	2	23	
"Estonia"	457	104			20	
"Ethiopia"					16	
"Moldova, Republic of"					16	
"Pakistan"			3	8	15	
"Türkiye"	507	623	492	390	15	
"Congo"					14	
"Barbados"	1	5	1	4	13	
"Iceland"		6003	22	18	10	
"Venezuela, Bolivarian Republic of"		1	1	1	10	
"Lithuania"	2	1616	215	104	9	
"New Caledonia"	1322	198			9	
"French Polynesia"				11	6	
"Bermuda"	1	4	21		5	
"Trinidad and Tobago"	3	2	4	11	5	
"Serbia"	6	22	2	25	4	
"Bosnia and Herzegovina"					3	
"Cyprus"	102	342	350	58	3	
"Georgia"	2		3	1	3	
"Oman"		1			3	
"Curaçao"	2	4		4	3	
"Egypt"	3	2	3	1	3	
"Armenia"					2	
"Kuwait"	1	7	3	3	2	
"Tunisia"				83	2	
"Montenegro"					1	
"Ghana"	4	3		3	1	
"Haiti"			1	3	1	
"Honduras"			7	1	1	
"Lao People's Democratic Republic"	1				1	
"Latvia"	3219	8	151	20	1	
"Madagascar"			2		1	
"Morocco"	2		24	1	1	
"Nigeria"	15	4	13	41	1	
"Timor-Leste"					1	
"Qatar"	1	10		281	1	
"Saint Kitts and Nevis"			3	6	1	
"Uganda"	2	6	4	49	1	
"Uruguay"	1	6	12		1	
"Christmas Island"	5			14		
"Cocos (Keeling) Islands"	65			7		
"Djibouti"	2		1			
"Pitcairn"				2		
"Anguilla"		1				
"Afghanistan"	3	2				
"Albania"	15	68		4		
"Andorra"	3			1		
"Bahrain"	1					
"Bangladesh"				21		
"Myanmar"		48				
"Burundi"			3			
"Belarus"	22					
"Cambodia"	2					
"Cabo Verde"	99					
"Sri Lanka"			14			
"Comoros"	10					
"Dominica"		2				
"Ecuador"	541	6	26			
"Fiji"				15		
"Greece"	1	19	654	1		
"Grenada"			1	1		
"Guatemala"	317	1	231	65		
"Guinea"			10			
"Guyana"	1		7	47		
"Côte d'Ivoire"		1		25		
"Kazakhstan"				44		
"Jordan"	1	3		11		
"Kyrgyzstan"			240			
"Lebanon"			7	4		
"Lesotho"				64		
"Liberia"	37	75	2	2		
"Malawi"			19			
"Maldives"			1	1		
"Mali"	1					
"Malta"	3	2	11	2		
"Mauritius"	1	7		86		
"Mozambique"		3				
"Aruba"		400	1			
"Nicaragua"	30		44	8		
"Niger"				30		
"Palau"				32		
"Papua New Guinea"		1		1		
"Paraguay"				1		
"Russian Federation"	3	48		1		
"Rwanda"				1		
"Saint Lucia"		14				
"Seychelles"			1	1		
"Zimbabwe"	249					
"Macedonia, North"			1			
"Tanzania, United Republic of"	2	13				
"Burkina Faso"	4					
"Yemen"				6		
"Zambia"	4		7	35		
