Exporters	Imported value in 2020	Imported value in 2021	Imported value in 2022	Imported value in 2023	Imported value in 2024	
"World"	51636353	60789833	54530352	46287585	49969257	
"China"	47727936	56636952	49992080	35883744	33059491	
"Viet Nam"	1320579	1735882	2012143	7933228	13552214	
"Taipei, Chinese"	1877404	1967804	2249405	2092159	2010655	
"Mexico"	367728	115356	12933	108331	767433	
"Thailand"	8240	3983	16602	11984	332776	
"Canada"	24341	21075	21564	37758	29473	
"Korea, Republic of"	33358	64877	30966	21525	27513	
"United Arab Emirates"	2925	3185	4563	10642	23649	
"Malaysia"	45189	40473	46912	36012	22756	
"Germany"	25268	21416	23883	24952	21180	
"Indonesia"	23715	17842	2493	9153	18973	
"Hong Kong, China"	22903	36822	22339	33250	16558	
"Poland"	9431	2248	5397	8781	12106	
"Japan"	83196	58254	25395	14072	11861	
"United Kingdom"	10766	14550	15347	13395	8864	
"India"	334	664	642	2399	8432	
"Italy"	4147	4718	6151	6316	4677	
"Denmark"	1849	1683	2748	4683	4654	
"Costa Rica"	443	104	494	686	3474	
"Switzerland"	1288	3203	2639	2896	3200	
"Singapore"	4327	7173	8881	1948	3001	
"Netherlands"	1937	1728	2283	3476	2474	
"France"	3292	3740	2761	1864	2407	
"Israel"	2351	1850	1977	2493	2067	
"Sweden"	2021	1895	743	2988	1965	
"Brazil"	413	715	399	421	1752	
"Australia"	1656	3384	1868	1562	1510	
"Spain"	1038	1363	5820	1552	1316	
"Montserrat"	9		2		1202	
"Belgium"	345	1318	670	1108	1166	
"Czech Republic"	314	401	481	755	1095	
"Ireland"	681	781	603	445	900	
"Hungary"	2777	1331	908	563	739	
"Slovakia"	1034	1013	754	880	720	
"South Africa"	175	212	292	515	694	
"Panama"	99	8	62	386	651	
"Norway"	807	4588	132	285	583	
"Slovenia"	619	869	814	3694	546	
"Chile"	36	38	56	465	526	
"Austria"	1550	349	582	408	510	
"New Zealand"	61	99	122	2117	468	
"Finland"	846	300	476	466	409	
"Philippines"	14657	905	266	225	360	
"Cayman Islands"	0	36	3	997	291	
"Saudi Arabia"	76	139	30	140	269	
"Jamaica"	4	11	205	97	253	
"Romania"	59	62	661	27	140	
"Kenya"	3	12	16	8	127	
"Argentina"	34	56	63	28	115	
"Luxembourg"	3	4	25	108	101	
"Dominican Republic"	14	30	39	66	89	
"Peru"	414	119	803	4	83	
"Bulgaria"	161	18	68	18	81	
"Portugal"	256	7	68	69	71	
"Belize"	0	2			68	
"Colombia"	576	89	112	79	61	
"Türkiye"	113	157	143	195	38	
"Sierra Leone"	35	27	73	6	37	
"Congo, Democratic Republic of the"	0	9			36	
"Ukraine"	35	36	23	3	35	
"Estonia"	177	27			26	
"Bahamas"	61		9	5	25	
"British Virgin Islands"	0		3		21	
"Barbados"	2	7	9	4	20	
"El Salvador"	0	8	4	18	18	
"Lithuania"	2	99	224	147	18	
"Serbia"	17	21	6	34	16	
"Ethiopia"	0				15	
"Venezuela, Bolivarian Republic of"	0	4	4	3	14	
"Iceland"	0	231	35	51	12	
"Oman"	0	5			11	
"French Polynesia"	0			41	10	
"Georgia"	5		6	2	10	
"Namibia"	113	216		9	10	
"Curaçao"	8	6		5	10	
"Bermuda"	3	9	14		9	
"Armenia"	0				8	
"Kuwait"	3	13	11	10	8	
"Moldova, Republic of"	0				8	
"New Caledonia"	401	127			8	
"Latvia"	129	25	33	25	6	
"Pakistan"	0		3	9	6	
"Uruguay"	2	6	16		6	
"Congo"	0				5	
"Lao People's Democratic Republic"	3				5	
"Trinidad and Tobago"	2	6	13	11	5	
"Bosnia and Herzegovina"	0				4	
"Ghana"	9	7		8	4	
"Nigeria"	45	8	34	44	4	
"Qatar"	5	27		9	4	
"Egypt"	6	6	7	3	4	
"Montenegro"	0				3	
"Croatia"	827	1923	29	6	3	
"Cyprus"	163	879	915	142	3	
"Haiti"	0		3	4	3	
"Honduras"	0		5	8	3	
"Madagascar"	0		6		3	
"Morocco"	5		3	2	3	
"Timor-Leste"	0				3	
"Tunisia"	0			99	3	
"Uganda"	3	15	13	51	3	
"Saint Kitts and Nevis"	0		4	9	2	
"Eswatini"	0		5	2	2	
"Christmas Island"	5			3		
"Cocos (Keeling) Islands"	24			5		
"Djibouti"	4		5			
"Pitcairn"	0			4		
"Anguilla"	0	3				
"Afghanistan"	11	3				
"Albania"	4	4		17		
"Andorra"	8			8		
"Bahrain"	4					
"Bangladesh"	0			11		
"Myanmar"	0	7				
"Burundi"	0		3			
"Belarus"	8					
"Cambodia"	2					
"Cabo Verde"	102					
"Sri Lanka"	0		60			
"Comoros"	6					
"Dominica"	0	8				
"Ecuador"	21	10	55			
"Fiji"	0			42		
"Greece"	4	14	423	3		
"Grenada"	0		5	2		
"Guatemala"	100	5	22	5		
"Guinea"	0		15			
"Guyana"	3		8	39		
"Côte d'Ivoire"	0	3		20		
"Kazakhstan"	0			35		
"Jordan"	3	10		8		
"Kyrgyzstan"	0		288			
"Lebanon"	0		7	4		
"Lesotho"	0			5		
"Liberia"	14	8	2	5		
"Malawi"	0		15			
"Maldives"	0		3	2		
"Mali"	3					
"Malta"	13	8	9	10		
"Mauritius"	10	8		6		
"Mozambique"	0	3				
