Importers	2020-Exported quantity, Tons	2021-Exported quantity, Tons	2022-Exported quantity, Tons	2023-Exported quantity, Tons	2024-Exported quantity, Tons	
"World"	482098	572741	458809	403421	405539	
"United States of America"	163773	188855	146498	127783	119322	
"Hong Kong, China"	37465	47882	33406	34566	36980	
"Netherlands"	37186	42646	38769	31410	32448	
"Germany"	32547	44781	34583	27032	25167	
"India"	16325	24030	22451	21204	21799	
"Japan"	32223	25970	21321	18643	20598	
"United Kingdom"	20348	22450	16680	15012	14981	
"United Arab Emirates"	9702	11689	11478	12323	13838	
"Russian Federation"	9376	10903	7652	7574	9019	
"Australia"	9572	9488	9809	8482	8182	
"Indonesia"	5460	8215	7014	5701	6949	
"Mexico"	5855	9117	5778	5689	6618	
"Korea, Republic of"	7138	8476	8813	5526	5836	
"Canada"	8222	8404	6678	5911	5705	
"France"	6540	8865	5533	5149	4697	
"Poland"	3607	4015	3164	5086	4464	
"Türkiye"	4445	5048	4174	5654	4310	
"Singapore"	4677	5444	5109	3820	4152	
"Malaysia"	3446	5400	4031	3352	3653	
"Philippines"	3224	3484	3400	2114	3267	
"Italy"	3890	5607	3670	2958	3244	
"Taipei, Chinese"	3591	4739	4980	3110	3169	
"Thailand"	3211	4639	3689	2852	2935	
"Czech Republic"	3841	5220	3794	2800	2930	
"South Africa"	3012	4170	2940	3104	2888	
"Colombia"	3108	4303	3341	2762	2678	
"Spain"	3064	3291	2700	2207	2649	
"Viet Nam"	2073	3682	2957	2468	2583	
"Switzerland"	2038	1208	2525	2687	2311	
"Kazakhstan"	1449	1018	1509	1197	1954	
"Peru"	2246	3168	2230	1529	1907	
"Chile"	2882	4550	2274	1990	1841	
"Greece"	3223	2582	3457	3695	1800	
"Saudi Arabia"	873	863	695	1087	1420	
"Belgium"	1016	1228	1736	925	1163	
"Argentina"	1223	1497	1151	781	970	
"Sweden"	1060	1416	1324	1015	968	
"New Zealand"	963	1116	980	833	949	
"Hungary"	327	428	712	960	812	
"Panama"	1868	1223	719	576	772	
"Israel"	1351	1185	966	918	768	
"Brazil"	889	1125	718	472	747	
"Kyrgyzstan"	1	2	16	20	642	
"Ecuador"	337	592	623	614	610	
"Denmark"	688	1122	1448	710	606	
"Austria"	1017	1164	1011	965	602	
"Romania"	902	944	720	524	595	
"Ghana"	107	321	234	530	443	
"Azerbaijan"	99	189	247	308	411	
"Portugal"	687	1433	509	340	397	
"Uruguay"	267	349	275	383	396	
"Uzbekistan"	18	21	97	123	392	
"Armenia"	9	9	26	93	364	
"Tunisia"	150	140	171	169	331	
"Finland"	386	388	268	247	316	
"Nigeria"	71	292	787	436	306	
"Georgia"	175	209	300	356	295	
"Morocco"	201	174	121	113	290	
"El Salvador"	54	91	264	225	277	
"Serbia"	87	101	105	48	264	
"Cambodia"	15	12	28	172	236	
"Bulgaria"	158	257	221	201	211	
"Turkmenistan"	152	160	193	189	191	
"Lithuania"	282	288	265	217	179	
"Guatemala"	98	228	285	221	172	
"Iraq"	72	21	10	8	162	
"Bangladesh"	288	416	319	72	160	
"Costa Rica"	146	270	181	118	148	
"Myanmar"	186	84	99	154	145	
"Uganda"	5	16	21	7	144	
"Croatia"	305	158	119	167	143	
"Norway"	188	174	169	110	134	
"Paraguay"	83	171	128	154	128	
"Sri Lanka"	296	502	97	97	116	
"Ireland"	245	252	176	129	102	
"Kenya"	22	17	46	37	95	
"Angola"	15	54	75	43	94	
"Mongolia"	24	36	23	73	91	
"Belarus"	61	40	50	105	89	
"Slovakia"	79	151	114	165	87	
"Pakistan"	171	142	281	79	86	
"Qatar"	108	176	138	85	80	
"Ethiopia"	26	2	4	6	78	
"Ukraine"	820	1094	451	88	73	
"Latvia"	145	136	192	185	72	
"Jordan"	80	297	28	48	71	
"Côte d'Ivoire"	17	22	56	89	68	
"Egypt"	194	168	36	35	61	
"Iceland"	40	33	41	45	59	
"Slovenia"	89	84	80	86	58	
"Oman"	33	141	49	21	55	
"Guinea"	1	1	1	5	54	
"Nepal"	25	60	37	31	51	
"Venezuela, Bolivarian Republic of"	5	6	61	12	50	
"Mauritius"	23	71	37	38	48	
"Senegal"	5	18	16	90	45	
"Kuwait"	40	27	35	32	42	
"Papua New Guinea"	13	36	478	34	41	
"Bosnia and Herzegovina"	13	38	24	33	37	
"Tanzania, United Republic of"	38	24	374	51	37	
"Estonia"	37	36	33	38	36	
"Mozambique"	6	17	10	30	36	
"Togo"	7	10	22	37	36	
"Honduras"	21	67	49	57	35	
"Lao People's Democratic Republic"	4	6	4	6	23	
"Burkina Faso"	12	2	3	9	21	
"Jamaica"	5	2	8	15	20	
"Macao, China"	39	33	77	48	20	
"Congo, Democratic Republic of the"	1	20	7	10	19	
"Malta"	2	4	9	7	19	
"Cyprus"	22	57	25	18	18	
"Luxembourg"	3078	4353	82	89	18	
"Nicaragua"	5	10	18	11	18	
"Guyana"	1	0	6	11	15	
"Lebanon"	19	21	40	34	15	
"Macedonia, North"	32	28	31	22	15	
"Libya, State of"	10	3	20	8	14	
"Cameroon"	72	1	2	6	12	
"Albania"	7	41	25	16	11	
"Eritrea"	0		7	0	11	
"Madagascar"	2	6	10	3	11	
"Moldova, Republic of"	32	32	16	17	11	
"Bahrain"	13	15	11	16	9	
"Algeria"	36	24	115	60	8	
"Bolivia, Plurinational State of"	34	58	41	23	7	
"Botswana"	1	2	70	5	7	
"Brunei Darussalam"	4	0	3	4	7	
"Cuba"	1	0	6	6	6	
"Zambia"	1	5	9	5	6	
"Somalia"			2	0	5	
"Dominican Republic"	361	975	320	21	5	
"Gabon"	1	2	2	0	5	
"Saint Lucia"		0	2		5	
"Vanuatu"	0	0	0		4	
"Fiji"	0	0	3	7	4	
"Malawi"	0	0	1	1	4	
"Zimbabwe"	3	9	21	5	4	
"Trinidad and Tobago"	1	2	1	0	4	
"Tajikistan"	0	0	0	0	3	
"Palestine, State of"	1	0	2	8	3	
"Sudan"	0	0	0	0	3	
"Afghanistan"	2		1	4	2	
"Benin"	0	1	1	2	2	
"Liberia"	0	0	1	2	2	
"Maldives"	0	0	0	0	2	
