Importers	2020-Exported unit value, US Dollar/Tons	2021-Exported unit value, US Dollar/Tons	2022-Exported unit value, US Dollar/Tons	2023-Exported unit value, US Dollar/Tons	2024-Exported unit value, US Dollar/Tons	Exported value in 2024, US Dollar thousand	Exported quantity in 2024, Tons	
"World"	239197	242681	278469	246481	251979	102187144	405539	
"United States of America"	258112	258353	307286	270148	271683	32417814	119322	
"Hong Kong, China"	249651	274888	319032	268718	286157	10582094	36980	
"Netherlands"	298355	282996	312627	282797	272664	8847401	32448	
"Germany"	210673	215596	254262	226561	249948	6290437	25167	
"Japan"	256481	272092	307253	281818	283187	5833082	20598	
"India"	204777	229611	239847	211073	238278	5194233	21799	
"United Kingdom"	238846	244370	277934	238328	260041	3895678	14981	
"Australia"	305606	317335	330816	305740	314052	2569576	8182	
"United Arab Emirates"	189762	193671	217507	179597	179661	2486151	13838	
"Korea, Republic of"	304364	282246	283728	293043	278520	1625442	5836	
"Russian Federation"	188924	196901	210429	202635	171070	1542883	9019	
"Singapore"	335319	324596	374973	360849	352859	1465072	4152	
"Canada"	203575	218682	271779	231903	251531	1434985	5705	
"Czech Republic"	345963	312852	344401	323347	415020	1216008	2930	
"Mexico"	166543	177726	209434	165143	173970	1151336	6618	
"Indonesia"	132111	145877	158079	142490	159697	1109735	6949	
"France"	171745	190613	207125	192927	207412	974215	4697	
"Türkiye"	200710	210610	239560	222500	223860	964836	4310	
"Poland"	168312	177799	209292	203321	215121	960300	4464	
"Italy"	264484	246181	280722	237409	286974	930944	3244	
"Taipei, Chinese"	271268	271709	304744	275445	278359	882120	3169	
"Malaysia"	183289	214692	226303	217050	219352	801293	3653	
"Thailand"	238432	233657	256380	231363	240402	705581	2935	
"Viet Nam"	212314	199865	201230	215002	235352	607914	2583	
"Philippines"	128332	168842	168991	157104	154297	504089	3267	
"Switzerland"	218145	256851	261465	206044	206865	478065	2311	
"Colombia"	151256	158237	194920	158731	177029	474084	2678	
"South Africa"	147330	162453	185651	166311	160885	464637	2888	
"Spain"	156695	172924	187699	162691	166666	441498	2649	
"Chile"	162039	174560	202778	193283	215873	397422	1841	
"Saudi Arabia"	154002	155517	207433	248138	267910	380432	1420	
"Peru"	171053	172084	202078	194077	199310	380085	1907	
"Greece"	159657	164401	188959	177876	193702	348663	1800	
"Belgium"	295565	364243	452218	283383	298249	346864	1163	
"Kazakhstan"	148775	149492	179787	176055	160123	312881	1954	
"New Zealand"	220031	250944	257777	249307	222946	211576	949	
"Hungary"	170593	183598	242639	220077	256297	208113	812	
"Denmark"	184988	249156	328817	369886	326142	197642	606	
"Sweden"	182850	193596	184142	160663	179318	173580	968	
"Israel"	202312	228851	251625	219728	223232	171442	768	
"Austria"	222826	222266	236611	215689	272949	164315	602	
"Panama"	144810	154193	180382	172438	196667	151827	772	
"Argentina"	126670	145178	158791	165223	131807	127853	970	
"Romania"	142468	174531	189554	174004	180713	107524	595	
"Ecuador"	143169	142360	146560	170349	172556	105259	610	
"Brazil"	162552	175856	221247	175847	139062	103879	747	
"Finland"	200060	210129	250698	232964	256699	81117	316	
"Kyrgyzstan"	155000	586000	131438	121400	123646	79381	642	
"Portugal"	152265	172792	193395	176253	192179	76295	397	
"Azerbaijan"	179919	181492	208518	173289	143971	59172	411	
"Armenia"	190111	132778	151538	131430	152640	55561	364	
"Tunisia"	139653	157350	189901	180627	159079	52655	331	
"Bulgaria"	180209	212887	267814	231637	243635	51407	211	
"Georgia"	105109	119254	147707	125185	165559	48840	295	
"Uzbekistan"	99944	131000	167876	117545	120515	47242	392	
"El Salvador"	147704	161275	140307	144098	163375	45255	277	
"Lithuania"	175238	196326	211109	217866	230223	41210	179	
"Serbia"	172276	174653	200648	226229	148723	39263	264	
"Cambodia"	199333	236583	197429	142651	162949	38456	236	
"Morocco"	115239	141241	143587	119690	123786	35898	290	
"Uruguay"	101120	123410	129335	118217	86518	34261	396	
"Norway"	213261	233511	276899	214218	248373	33282	134	
"Costa Rica"	136637	147304	190497	177992	209669	31031	148	
"Guatemala"	151653	154026	142474	144421	180134	30983	172	
"Croatia"	133492	178057	189782	159425	201769	28853	143	
"Ireland"	200253	209409	292909	224721	281422	28705	102	
"Nigeria"	105437	99308	74915	74438	81059	24804	306	
"Bangladesh"	148139	172933	160382	176778	151719	24275	160	
"Ghana"	143766	76953	66085	53230	48228	21365	443	
"Uganda"	226200	259813	274000	241000	146292	21066	144	
"Mongolia"	230667	277583	247043	197342	213154	19397	91	
"Myanmar"	155027	169393	177232	148545	132428	19202	145	
"Sri Lanka"	155588	182217	180959	170309	160345	18600	116	
"Iceland"	210025	255848	300512	256778	310559	18323	59	
"Paraguay"	143133	130591	138938	117253	133992	17151	128	
"Slovakia"	170557	181742	217465	169315	192943	16786	87	
"Latvia"	173524	211801	156333	151335	223292	16077	72	
"Iraq"	89708	78952	83000	91625	98426	15945	162	
"Qatar"	188361	169443	193812	177918	196800	15744	80	
"Belarus"	207541	205500	205660	162714	153730	13682	89	
"Slovenia"	180247	190250	192350	169686	213879	12405	58	
"Angola"	121867	82111	92880	110070	125777	11823	94	
"Jordan"	124750	113189	202714	142500	148845	10568	71	
"Pakistan"	178503	217331	143979	172532	120860	10394	86	
"Ukraine"	173782	179063	198989	140102	135959	9925	73	
"Egypt"	87191	133815	188694	167429	161902	9876	61	
"Estonia"	233595	241056	311394	289526	271417	9771	36	
"Ethiopia"	137154	295000	139250	147000	122167	9529	78	
"Turkmenistan"	50020	71438	51404	40492	49084	9375	191	
"Nepal"	140520	148083	145595	164097	181137	9238	51	
"Bosnia and Herzegovina"	155692	211947	238958	242394	245270	9075	37	
"Oman"	171273	115801	221429	171667	164418	9043	55	
"Mauritius"	185130	177352	170595	213289	180042	8642	48	
"Luxembourg"	180015	201439	479463	466966	468778	8438	18	
"Côte d'Ivoire"	21059	75818	100071	120528	120088	8166	68	
"Macao, China"	173538	261121	325273	282167	367700	7354	20	
"Kenya"	157545	209824	150413	154405	76505	7268	95	
"Kuwait"	229750	183704	199000	133250	159452	6697	42	
"Tanzania, United Republic of"	119105	232625	110476	147765	142892	5287	37	
"Honduras"	137381	156060	143592	139105	149800	5243	35	
"Cyprus"	232091	187649	229160	281111	254500	4581	18	
"Lao People's Democratic Republic"	163000	173333	90000	154000	175435	4035	23	
"Jamaica"	109400	171500	125875	160400	177300	3546	20	
"Venezuela, Bolivarian Republic of"	156400	184833	70705	129000	67760	3388	50	
"Guinea"	102000	105000	144000	57600	59981	3239	54	
"Malta"	184000	191000	160444	163714	163053	3098	19	
"Macedonia, North"	176438	177286	175871	167955	188600	2829	15	
"Papua New Guinea"	66692	107306	116427	75618	67512	2768	41	
"Albania"	207429	132805	209080	171500	234636	2581	11	
"Lebanon"	182579	174524	214325	212882	158933	2384	15	
"Bahrain"	234000	207400	190545	134375	263000	2367	9	
"Mozambique"	123000	110941	66800	66333	61833	2226	36	
"Togo"	151857	130600	71273	46892	60361	2173	36	
"Congo, Democratic Republic of the"	25000	97600	75714	156100	111368	2116	19	
"Burkina Faso"	115167	81500	97667	70111	97714	2052	21	
"Moldova, Republic of"	163875	148156	233813	166882	166545	1832	11	
"Nicaragua"	132200	125800	117167	124727	97833	1761	18	
"Bolivia, Plurinational State of"	151912	173224	181171	199565	192143	1345	7	
"Algeria"	46778	87625	64235	64317	167375	1339	8	
"Senegal"	62800	179389	114313	98367	29156	1312	45	
"Guyana"	63000		80667	62273	77867	1168	15	
"Madagascar"	204000	91333	78600	111333	101091	1112	11	
"Brunei Darussalam"	75250		76667	240500	154571	1082	7	
"Cuba"	223000		184167	150333	174667	1048	6	
"Cameroon"	59861	182000	163000	64167	80750	969	12	
"Zambia"	161000	84200	118333	118200	148667	892	6	
"Botswana"	146000	89500	95900	110200	125143	876	7	
"Libya, State of"	110800	236667	125900	87750	54143	758	14	
"Trinidad and Tobago"	50000	143000	110000		182750	731	4	
"Malawi"			155000	250000	180750	723	4	
"Tajikistan"					171333	514	3	
"Eritrea"			252429		39636	436	11	
"Saint Lucia"			118500		87000	435	5	
"Zimbabwe"	171667	92000	88524	95800	107750	431	4	
"Benin"		97000	64000	57500	209000	418	2	
"Dominican Republic"	99211	97178	107072	82333	81400	407	5	
"Liberia"			98000	149500	149000	298	2	
"Rwanda"	170000				274000	274	1	
"New Caledonia"		158000		116429	128000	256	2	
"Sierra Leone"		141000	127333	118500	121500	243	2	
"Gabon"	84000	17000	41000		41800	209	5	
"Vanuatu"					51000	204	4	
"Tonga"		237000				202	0	
"Palestine, State of"	112000		58500	74250	63333	190	3	
"Fiji"			60000	65571	46500	186	4	
"Mali"				99583	183000	183	1	
"Somalia"			21500		28600	143	5	
"Namibia"	120000	157000	117000	96500	130000	130	1	
"Syrian Arab Republic"					49500	99	2	
"Maldives"					48000	96	2	
"Afghanistan"	17000		3000	5250	44000	88	2	
"Belize"					88000	88	1	
"Sudan"					27000	81	3	
"Yemen"	11000	11000	15000	7000	38500	77	2	
"Timor-Leste"	34000		52000		73000	73	1	
"Marshall Islands"						67	0	
"South Sudan"					66000	66	1	
"Bahamas"						66	0	
"Mauritania"			30750	63500	30500	61	2	
"Cayman Islands"						60	0	
"Congo"	17000	116000	43000		60000	60	1	
"Bhutan"		84000				52	0	
"Chad"			71500			45	0	
"Korea, Democratic People's Republic of"						34	0	
"Djibouti"	11000	55000	110200	27333		30	0	
"Iran, Islamic Republic of"	157960	37615	15000	26643	30000	30	1	
"Guinea-Bissau"					22000	22	1	
"Comoros"						22	0	
"Equatorial Guinea"						18	0	
"Bermuda"				140000		18	0	
"Burundi"				89529		15	0	
"Bouvet Island"						14	0	
"Guam"						12	0	
"Montenegro"			252000			12	0	
"Sint Maarten (Dutch part)"						11	0	
"Antigua and Barbuda"						11	0	
"Kiribati"					9000	9	1	
"Saint Kitts and Nevis"						9	0	
"Sao Tome and Principe"						8	0	
"Suriname"	98500	50000	22000		8000	8	1	
"Micronesia, Federated States of"						6	0	
"Lesotho"						5	0	
"Aruba"						5	0	
"Seychelles"			52000			4	0	
"Cabo Verde"				8000		3	0	
"Haiti"	40000	45000				2	0	
"Niger"						2	0	
"Niue"						1	0	
"Solomon Islands"	6000					1	0	
"Grenada"			133000			1	0	
"Curaçao"						1	0	
"Samoa"						1	0	
"Gibraltar"								
"Oceania Nes"								
"Europe Othr. Nes"								
"America not elsewhere specified"								
"Barbados"								
"Central African Republic"								
"Dominica"		98000						
"French Polynesia"								
"Gambia"								
"Palau"								
"Eswatini"								
"Turks and Caicos Islands"								
