Importers	Exported value in 2020	Exported value in 2021	Exported value in 2022	Exported value in 2023	Exported value in 2024	
"World"	115316393	138993508	127763882	99435701	102187144	
"United States of America"	42271765	48791314	45016760	34520349	32417814	
"Hong Kong, China"	9353176	13162166	10657589	9288497	10582094	
"Netherlands"	11094615	12068665	12120224	8882639	8847401	
"Germany"	6856776	9654616	8793152	6124388	6290437	
"Japan"	8264586	7066235	6550950	5253938	5833082	
"India"	3342988	5517548	5384812	4475587	5194233	
"United Kingdom"	4860038	5486105	4635931	3577785	3895678	
"Australia"	2925263	3010872	3244975	2593287	2569576	
"United Arab Emirates"	1841073	2263822	2496542	2213179	2486151	
"Korea, Republic of"	2172553	2392318	2500498	1619357	1625442	
"Russian Federation"	1771352	2146817	1610201	1534760	1542883	
"Singapore"	1568289	1767101	1915735	1378442	1465072	
"Canada"	1673791	1837807	1814941	1370780	1434985	
"Czech Republic"	1328842	1633090	1306657	905372	1216008	
"Mexico"	975109	1620332	1210109	939500	1151336	
"Indonesia"	721324	1198380	1108766	812333	1109735	
"France"	1123213	1689784	1146022	993381	974215	
"Türkiye"	892155	1063161	999925	1258014	964836	
"Poland"	607101	713864	662200	1034093	960300	
"Italy"	1028842	1380338	1030249	702255	930944	
"Taipei, Chinese"	974122	1287629	1517627	856633	882120	
"Malaysia"	631614	1159339	912229	727551	801293	
"Thailand"	765606	1083934	945785	659847	705581	
"Viet Nam"	440127	735903	595038	530624	607914	
"Philippines"	413741	588247	574571	332118	504089	
"Switzerland"	444579	310276	660199	553641	478065	
"Colombia"	470105	680895	651228	438416	474084	
"South Africa"	443759	677431	545815	516228	464637	
"Spain"	480115	569094	506786	359058	441498	
"Chile"	466995	794247	461118	384633	397422	
"Saudi Arabia"	134444	134211	144166	269726	380432	
"Peru"	384184	545163	450633	296744	380085	
"Greece"	514576	424483	653231	657251	348663	
"Belgium"	300294	447290	785051	262129	346864	
"Kazakhstan"	215575	152183	271299	210738	312881	
"New Zealand"	211890	280054	252621	207673	211576	
"Hungary"	55784	78580	172759	211274	208113	
