Importers	Exported value in 2020	Exported value in 2021	Exported value in 2022	Exported value in 2023	Exported value in 2024	
"World"	3878	6144	5289	7348	11088	
"United States of America"	12	230	412	1813	3548	
"Botswana"	505	1007	714	1450	1182	
"Namibia"	653	898	811	744	981	
"Canada"	4	1	4	19	734	
"Lesotho"	49	96	195	146	714	
"Zambia"	526	886	869	727	682	
"France"	7	1	1	7	502	
"Mozambique"	342	363	352	344	388	
"Eswatini"	165	231	292	315	315	
"Congo, Democratic Republic of the"	220	360	366	396	291	
"Madagascar"	65	31	21	26	246	
"Zimbabwe"	317	407	187	175	245	
"Angola"	252	54	194	174	235	
"Côte d'Ivoire"	1	8	3	13	159	
"Uganda"	17	6	7	19	102	
"United Kingdom"	80	27	37	58	96	
"Tanzania, United Republic of"	85	139	135	100	62	
"Mali"	8	71	63	30	54	
"Spain"	0		0		51	
"Kenya"	4	5	26	48	38	
"Mexico"	0			2	36	
"Area Nes"	1	46	71	27	35	
"Seychelles"	9	7	21	6	34	
"Senegal"	14	3		24	27	
"Mauritania"	0	29		22	24	
"Ghana"	10	22	55	41	23	
"Germany"	69	532	52	100	21	
"Malawi"	143	36	67	25	21	
"Australia"	38	28	2	34	20	
"Belgium"	14	9	18	18	20	
"Pakistan"	0	1			18	
"United Arab Emirates"	0	12	23	4	15	
"Ship stores and bunkers"	0		3	9	14	
"Netherlands"	7	3	9	9	14	
"Rwanda"	1		15	7	13	
"Ethiopia"	2	5			11	
"Malaysia"	0			0	11	
"Mauritius"	23	17	6	7	11	
"Hong Kong, China"	0			1	10	
"Nigeria"	4	3	6	3	10	
"Dominican Republic"	0	116			8	
"Guinea"	14	18	33	2	8	
"Italy"	10	3	7	2	8	
"Singapore"	2	67	17	3	7	
"Tunisia"	0			0	6	
"China"	1	17	0	51	5	
"Guyana"	0				4	
"Philippines"	0		3	8	4	
"Saudi Arabia"	9	3	8	2	4	
"Sierra Leone"	27	2	95	72	4	
"Burkina Faso"	15	18	4	15	4	
"Brazil"	3				3	
"Morocco"	0				3	
"Saint Helena"	0			6	1	
"Somalia"	0				1	
"Czech Republic"	0			1	1	
"Gabon"	3	4		4	1	
"Niger"	0				1	
"Sao Tome and Principe"	0				1	
"Austria"	0	1		11	0	
"Sweden"	0	38	1		0	
"Chad"	0			5		
"Djibouti"	0	3				
"Algeria"	0	69				
"Andorra"	0		1			
"Argentina"	3	9				
"Bulgaria"	0					
"Burundi"	0	2				
"Cameroon"	1	2	1			
"Chile"	0	6	1	3		
"Comoros"	0	4				
"Congo"	5	12	1	7		
"Croatia"	0	0				
"Denmark"	0	0				
"Eritrea"	7	33				
"Fiji"	21					
"Gambia"	0			3		
"Greece"	0		0			
"Indonesia"	0	1	3			
"Ireland"	0		6			
"Israel"	0		0			
"Japan"	0	0	0	166		
"Kazakhstan"	46		1			
"Korea, Republic of"	0			1		
"Kyrgyzstan"	0	2				
"Lao People's Democratic Republic"	0	4				
"Latvia"	0	18				
"Liberia"	4					
"Maldives"	0	1				
"Taipei, Chinese"	0		0	0		
"Nepal"	0		4			
"Curaçao"	0			3		
"New Zealand"	29	12				
"Poland"	0		0	0		
"Portugal"	0					
"Qatar"	2					
"Russian Federation"	0		6	8		
"India"	5	33	11	19		
"Slovakia"	0			0		
"Viet Nam"	0					
"Sudan"	10		2	1		
"Suriname"	0	1				
"Switzerland"	13		0			
"Thailand"	0	27	11	5		
"Trinidad and Tobago"	0			1		
"Türkiye"	0	44	25	7		
"Egypt"	1		1	0		
"Venezuela, Bolivarian Republic of"	0		7			
