Importers	2020-Imported quantity	2020-Unit	2021-Imported quantity	2021-Unit	2022-Imported quantity	2022-Unit	2023-Imported quantity	2023-Unit	2024-Imported quantity	2024-Unit	
"World"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Hong Kong, China"	22839	Tons	767336717	Units	438081036	Units	427439738	Units	418898654	Units	
"United States of America"	306036879	Units	357080284	Units	335575131	Units	318424612	Units	323981100	Units	
"Thailand"	219410435	Units	264938069	Units	235219467	Units	207308207	Units	255877155	Units	
"India"	4936	Tons	6859	Tons	8105	Tons	222291310	Units	251330620	Units	
"South Africa"	1843641	Units	3103872	Units	2971782	Units	3119520	Units	88538750	Units	
"Singapore"	87202097	Units	101682510	Units	89715568	Units	72468644	Units	76455826	Units	
"Malaysia"	48647491	Units	66866516	Units	65969030	Units	73233147	Units	49940013	Units	
"Canada"	33263208	Units	35675055	Units	33422670	Units	33469839	Units	30113561	Units	
"Pakistan"	977179	Units	118574	Units	644142	Units	2385243	Units	8902066	Units	
"Australia"	2037721	Units	2790162	Units	3158675	Units	3436135	Units	3120856	Units	
"Sri Lanka"	71	Tons	116	Tons	1313700	Units	1061598	Units	1839726	Units	
"Chile"	509100	Units	789329	Units	524576	Units	552441	Units	675159	Units	
"Papua New Guinea"	0	Mixed	28140	Units	27946	Units	29202	Units	72724	Units	
"China"	47376	Tons	50407	Tons	43221	Tons	37016	Tons	35502	Tons	
"Czech Republic"	45412	Tons	43962	Tons	60819	Units	40681	Tons	30655	Tons	
"Germany"	40259	Tons	45054	Tons	40423	Tons	31661	Tons	30376	Tons	
"Korea, Republic of"	23946	Tons	26627	Tons	25687	Tons	26083	Tons	27112	Tons	
"Japan"	25276	Tons	30515	Tons	29786	Tons	26360	Tons	25949	Tons	
"Mexico"	17007	Tons	19742	Tons	19924	Tons	233415598	Units	22014	Tons	
"Brazil"	14528	Tons	18904	Tons	14247	Tons	14474	Tons	20761	Tons	
"Italy"	19972	Tons	23807	Tons	25328	Tons	22352	Tons	20207	Tons	
"Philippines"	6743	Tons	7854	Tons	14319	Tons	10761	Tons	18606	Tons	
"Türkiye"	16114	Tons	19552	Tons	16135	Tons	17073	Tons	16299	Tons	
"Mauritius"	12448	Units	16954	Units	15948	Units	16385	Units	16266	Units	
"Poland"	13076	Tons	14121	Tons	13148	Tons	14532	Tons	16207	Tons	
"Indonesia"	11642	Tons	13583	Tons	12303	Tons	13099	Tons	15890	Tons	
"Spain"	14108	Tons	16783	Tons	16313	Tons	15439	Tons	13930	Tons	
"Netherlands"	5010	Tons	6724	Tons	11037	Tons	12622	Tons	13152	Tons	
"France"	11355	Tons	12440	Tons	13566	Tons	13301	Tons	12220	Tons	
"Tajikistan"	0	Mixed	6886	Units	4483	Units	0	Mixed	11500	Units	
"Hungary"	11909	Tons	10050	Tons	13115	Tons	9724	Tons	10802	Tons	
"Slovakia"	7170	Tons	10194	Tons	9748	Tons	10569	Tons	9906	Tons	
"Viet Nam"	6071	Tons	7079	Tons	8533	Tons	7705	Tons	9185	Tons	
"United Kingdom"	6888	Tons	8288	Tons	9669	Tons	9508	Tons	8585	Tons	
"Austria"	8057	Tons	9540	Tons	8870	Tons	8340	Tons	7899	Tons	
"Taipei, Chinese"	10018	Tons	13504	Tons	9230	Tons	7511	Tons	7177	Tons	
"Fiji"	7592	Units	2011	Units	3560	Units	3615	Units	5975	Units	
"Romania"	5798	Tons	6711	Tons	4913	Tons	5034	Tons	5041	Tons	
"Argentina"	4297	Tons	6032	Tons	5141	Tons	5536	Tons	3357	Tons	
"Switzerland"	3428	Tons	3779	Tons	3633	Tons	3449	Tons	3163	Tons	
"Bahamas"	3963	Units	16598	Units	6493	Units	5696	Units	2674	Units	
"Portugal"	2587	Tons	2688	Tons	3018	Tons	2650	Tons	2630	Tons	
"Sweden"	1860	Tons	2159	Tons	2191	Tons	2134	Tons	2522	Tons	
"Ireland"	1732	Tons	2111	Tons	2181	Tons	2074	Tons	2440	Tons	
"Brunei Darussalam"	11223	Units	5907	Units	8020	Units	7282	Units	2087	Units	
"Bhutan"	1778	Units	2393	Units	1418	Units	1249	Units	2071	Units	
"Dominican Republic"	684	Tons	1071	Tons	1202	Tons	2011	Tons	1754	Tons	
"Ukraine"	576	Tons	2306	Tons	1515	Tons	1207	Tons	1734	Tons	
"Denmark"	2666	Tons	2665	Tons	1865	Tons	1538	Tons	1648	Tons	
"Bulgaria"	1020	Tons	902	Tons	1159	Tons	1309	Tons	1635	Tons	
"Belgium"	3392628	Units	1905	Tons	1878	Tons	1655	Tons	1522	Tons	
"Morocco"	609	Tons	1344	Tons	2018	Tons	1357	Tons	1438	Tons	
"Israel"	1275	Tons	1270	Tons	1365	Tons	1188	Tons	1366	Tons	
"Cambodia"	6658	Tons	2891	Tons	1106	Tons	98
