Importers	Imported value in 2020	Imported value in 2021	Imported value in 2022	Imported value in 2023	Imported value in 2024	
"World"	13392528	16731148	16838224	15827372	16289143	
"United States of America"	1950397	2225138	2324850	2270549	2279235	
"Korea, Republic of"	934635	1884213	2328382	1756123	1823791	
"China"	1411556	1629009	1452594	1290568	1258876	
"Germany"	1206308	1405775	1299447	1214461	1173800	
"Mexico"	566286	703345	742629	794217	893275	
"Hong Kong, China"	779699	900461	548449	423872	645412	
"Japan"	524206	652687	652052	602420	583235	
"Thailand"	420792	542764	551573	507114	579837	
"Czech Republic"	444061	512609	480669	511562	493243	
"India"	175913	254040	298160	327856	380307	
"Viet Nam"	216363	252215	318035	309736	369211	
"France"	286125	334132	361783	358885	348237	
"Netherlands"	149967	208213	280466	332746	337935	
"Italy"	245446	338899	382491	340959	336572	
"Poland"	242763	262679	254346	292595	328051	
"Canada"	274507	316250	342413	370533	322645	
"United Kingdom"	226259	268158	321375	322658	286666	
"Austria"	215798	282822	269185	280012	257950	
"Spain"	185747	205358	214128	216055	236320	
"Hungary"	234987	245997	236109	247175	233951	
"Slovakia"	150578	206027	212871	269102	229947	
"Brazil"	152191	198398	181449	171976	223600	
"Türkiye"	198561	247909	227923	248616	220832	
"Philippines"	55036	82175	121192	122254	207008	
"Malaysia"	216520	257768	264014	202620	190108	
"Switzerland"	175839	210520	208025	167446	159019	
"Singapore"	138217	180294	177406	136864	157499	
"Taipei, Chinese"	186522	233147	189712	159506	156619	
"Romania"	140804	170886	143775	138339	133231	
"Indonesia"	86481	114611	111249	95068	106206	
"Australia"	70026	78961	111707	127494	99915	
"Portugal"	60395	68457	87354	86602	85758	
"Sweden"	68954	72930	72044	81794	83214	
"Denmark"	90491	90293	76206	76975	80793	
"Belgium"	50346	68272	58015	62544	73815	
"United Arab Emirates"	42993	43018	49880	56664	72438	
"Russian Federation"	130258	164897	60129	61619	65204	
"Israel"	45452	45253	50857	48336	55447	
"Ireland"	27328	38185	42402	43607	46108	
"Ukraine"	16869	33297	22379	25215	35058	
"Argentina"	30892	49164	47226	47944	33736	
"Uzbekistan"	12667	9458	18096	2
