Exporters	2020-Imported unit value, US Dollar/Tons	2021-Imported unit value, US Dollar/Tons	2022-Imported unit value, US Dollar/Tons	2023-Imported unit value, US Dollar/Tons	2024-Imported unit value, US Dollar/Tons	Imported value in 2024, US Dollar thousand	Imported quantity in 2024, Tons	
"World"	29964	31202	32146	38358	38643	1173800	30375.63	
"Switzerland"	83004	85708	78337	81471	82420	364708	4425	
"China"	23126	21530	21532	22041	21995	197826	8994	
"Hungary"	52143	58111	71928	89867	124004	57414	463	
"Italy"	14391	15256	15494	17765	15240	54987	3608	
"Czech Republic"	26034	28733	28105	50973	53532	47162	881	
"Netherlands"	17778	19305	19165	30417	65129	46828	719	
"Thailand"	28956	31666	26324	21686	17609	45960	2610	
"France"	37561	39311	37198	45873	57940	37951	655	
"Romania"	34556	27739	28162	37800	50235	35114	699	
"United States of America"	164159	170368	208103	213951	212731	27655	130	
"Poland"	18768	20682	22911	57298	52295	24631	471	
"Philippines"	29964	31202	32146	38358	38643	22597	58
